,path,class,label_gran_3,label_gran_5,label_gran_7,label_gran_10,label_gran_20,label_gran_30,label_gran_50,label_gran_70,label_gran_90,label_gran_110,label_gran_130,label_gran_150,label_gran_13,label_gran_15
36396,Shoes/Heels/Lilly Pulitzer/8023083.199663.jpg,2,6,16,48,283,1778,2537,3128,3271,3319,3337,3339,3339,766,1177
37786,Boots/Mid-Calf/Fergie/8028780.3.jpg,4,3,9,49,181,737,2571,6216,6564,6679,6713,6720,6720,709,2053
16274,Shoes/Clogs and Mules/Wolky/7849440.330593.jpg,9,3,9,49,181,737,3692,6178,6523,6638,6672,6679,6679,709,2053
36693,Boots/Knee High/Fitzwell/8024147.60.jpg,7,3,9,49,181,591,692,774,12890,13187,13270,13281,13281,709,2053
34532,Shoes/Flats/Nina Kids/8016211.128268.jpg,5,7,26,84,258,658,5756,11899,12810,13104,13187,13198,13198,139,2103
40622,Boots/Ankle/UGG/8041795.42313.jpg,1,4,25,73,179,1488,2780,5863,6181,6284,6317,6324,6324,1252,228
49640,Shoes/Heels/Truth or Dare By Madonna/8129494.408557.jpg,2,4,15,20,26,107,1795,15737,17150,17586,17719,17734,17734,1079,69
271,Boots/Mid-Calf/Dr. Martens/108237.1670.jpg,4,2,5,23,29,101,109,112,113,115,116,116,116,1291,1345
5395,Sandals/Flat/Softspots/7517582.728.jpg,3,3,6,7,10,1025,1701,2024,2176,2208,2217,2218,2218,1005,1432
4861,Slippers/Boot/Baffin/7486138.9.jpg,17,6,16,21,206,849,1038,1896,1968,1995,2002,2003,2003,1055,505
41539,Shoes/Loafers/Bass/8046244.38872.jpg,6,4,25,47,332,1370,2551,4539,4763,4835,4857,4863,4863,1652,1772
913,Boots/Ankle/Frye/7154095.236045.jpg,1,2,3,3,6,336,372,405,416,422,424,424,424,105,499
44963,Shoes/Sneakers and Athletic Shoes/Reebok/8071496.2125.jpg,0,1,4,18,22,433,6968,14679,15968,16370,16481,16494,16494,579,1797
27383,Boots/Ankle/adidas Outdoor/7983350.358221.jpg,1,7,14,19,98,1754,3575,9597,10266,10470,10545,10556,10556,413,975
17458,Shoes/Heels/Cole Haan/7879695.208905.jpg,2,4,29,75,402,1582,2430,6573,6954,7079,7117,7124,7124,324,2233
37811,Shoes/Loafers/Bass/8028851.372739.jpg,6,7,26,84,328,1361,2926,9675,10359,10566,10641,10652,10652,544,1740
12219,Sandals/Flat/Rieker/7775875.585.jpg,3,3,6,12,94,206,249,262,609,617,620,620,620,1650,2134
19270,Shoes/Sneakers and Athletic Shoes/Stride Rite/7896847.359.jpg,0,7,26,93,310,3392,5468,7147,7568,7707,7748,7755,7755,318,1456
19442,Shoes/Loafers/SKECHERS/7898479.14.jpg,6,4,29,75,402,3416,5504,7201,7631,7771,7813,7820,7820,1498,2472
11085,Boots/Ankle/Scarpa/7742150.401.jpg,1,1,1,1,1,2332,3430,4292,4499,4565,4587,4593,4593,1767,1588
13176,Shoes/Heels/Nine West/7798031.372438.jpg,2,6,24,44,205,1226,3944,5012,5266,5347,5374,5380,5380,1731,641
34481,Boots/Knee High/Annie/8016034.7294.jpg,7,4,25,73,179,2790,4260,5448,5864,5960,5990,5997,5997,1056,221
33917,Shoes/Heels/Type Z/8014058.29818.jpg,2,4,10,37,71,1519,2798,11728,12614,12901,12983,12994,12994,560,878
13843,Shoes/Sneakers and Athletic Shoes/Merrell/7813012.1681.jpg,0,5,12,16,19,2708,4121,5263,5537,5623,5652,5659,5659,461,2222
25669,Shoes/Sneakers and Athletic Shoes/adidas/7976296.355644.jpg,0,7,14,19,98,1441,1936,2321,2417,2453,2464,2465,2465,1485,2325
39583,Boots/Mid-Calf/Calvin Klein/8035140.20847.jpg,4,0,0,0,525,4629,9339,13268,14376,14718,14815,14828,14828,1126,1499
19870,Sandals/Flat/Volcom/7903807.91914.jpg,3,6,16,21,27,605,1314,7353,7790,7940,7983,7990,7990,1467,1632
22628,Shoes/Flats/Morgan&Milo Kids/7945515.585.jpg,5,7,26,93,310,1105,1410,1657,8706,8880,8941,8952,8952,171,357
11893,Shoes/Sneakers and Athletic Shoes/adidas Originals Kids/7763946.371522.jpg,0,1,4,18,149,796,1126,4567,4792,4865,4887,4893,4893,130,1942
6205,Shoes/Sneakers and Athletic Shoes/Globe/7559627.359577.jpg,0,1,4,18,22,698,863,983,1010,1025,1029,1029,1029,579,1067
31325,Boots/Knee High/Cole Haan/8000921.106.jpg,7,6,27,59,112,2982,4606,10910,11705,11962,12040,12051,12051,1560,2030
3383,Shoes/Oxfords/Dr. Martens/7348547.31237.jpg,8,3,21,33,239,908,1123,1304,1347,1370,1375,1376,1376,144,420
6692,Shoes/Sneakers and Athletic Shoes/Vans/7579608.384912.jpg,0,3,6,24,30,1289,1687,2005,2084,2112,2120,2121,2121,71,405
13072,Boots/Mid-Calf/Columbia/7796329.156516.jpg,4,2,3,3,282,2587,3907,4968,5221,5302,5329,5335,5335,1392,1318
25813,Shoes/Sneakers and Athletic Shoes/ASICS/7976630.355800.jpg,0,4,15,22,79,1774,2528,9140,9765,9965,10038,10049,10049,480,1881
1990,Shoes/Sneakers and Athletic Shoes/Vans Kids/7241786.389242.jpg,0,7,14,35,210,600,705,788,811,822,826,826,826,571,1369
12119,Shoes/Flats/ECCO/7770591.299069.jpg,5,3,9,13,333,1050,2026,2440,2542,2578,2589,2590,2590,1337,2499
14601,Sandals/Flat/Havaianas Kids/7821698.3.jpg,3,7,14,35,210,2571,4337,5553,5844,5939,5969,5976,5976,1719,1953
44274,Shoes/Sneakers and Athletic Shoes/SKECHERS/8065327.7102.jpg,0,1,1,1,1,2688,4088,14505,15772,16163,16272,16285,16285,875,1836
13663,Boots/Mid-Calf/Naturino/7810029.3.jpg,4,7,23,43,330,2677,4073,5196,5465,5549,5578,5585,5585,16,2115
3160,Shoes/Sneakers and Athletic Shoes/Tsukihoshi Kids/7334943.3098.jpg,0,7,26,93,310,865,1061,1218,1258,1279,1283,1284,1284,1076,1417
34072,Shoes/Flats/Keds Kids/8014517.552.jpg,5,0,18,86,305,999,4361,10847,11636,11890,11968,11979,11979,804,1198
19766,Sandals/Flat/Salvatore Ferragamo/7902689.5291.jpg,3,6,16,48,81,551,5592,7314,7748,7897,7939,7946,7946,1456,2347
26640,Shoes/Heels/Betsey Johnson/7979260.687.jpg,2,2,30,88,287,2636,6894,9369,10013,10214,10288,10299,10299,735,749
12337,Shoes/Clogs and Mules/Fly Flot/7781597.11.jpg,9,2,3,67,269,2494,3736,4729,4960,5034,5058,5064,5064,801,1733
19203,Sandals/Flat/Kenneth Cole Reaction Kids/7896290.30544.jpg,3,0,8,9,476,3385,5455,7130,7550,7689,7730,7737,7737,1110,1265
30939,Shoes/Heels/Stuart Weitzman/7999491.106.jpg,2,4,15,20,26,574,670,973,1000,1015,1019,1019,1019,1759,539
49944,Shoes/Sneakers and Athletic Shoes/Vibram FiveFingers/8146855.312577.jpg,0,4,15,20,26,5826,10727,15799,17219,17658,17791,17806,17806,1276,173
47771,Boots/Ankle/Steve Madden/8098778.691.jpg,1,6,16,21,254,1123,1437,1693,1757,9856,9927,9938,9938,1436,1854
36392,Sandals/Flat/Sbicca/8023081.1430.jpg,3,3,6,7,24,25,810,7609,8069,8225,8270,8277,8277,437,783
48639,Sandals/Flat/Naughty Monkey/8112749.3.jpg,3,4,15,46,77,772,3919,15555,16948,17376,17504,17518,17518,1594,1086
737,Shoes/Sneakers and Athletic Shoes/Nurse Mates/7134688.3.jpg,0,3,21,50,169,260,283,302,310,316,318,318,318,926,856
39106,Shoes/Sneakers and Athletic Shoes/Bikkembergs/8032240.158.jpg,0,1,17,25,117,1933,2810,3491,3653,3705,3723,3727,3727,599,111
14093,Boots/Ankle/ECCO/7814799.345607.jpg,1,3,9,49,181,591,798,5374,5653,5741,5770,5777,5777,709,2053
1727,Sandals/Flat/Ocean Minded/7217911.16158.jpg,3,2,5,10,128,531,613,682,705,714,717,717,717,616,963
17860,Shoes/Sneakers and Athletic Shoes/Saucony/7882335.11319.jpg,0,4,15,22,79,1606,2240,2922,3058,3103,3119,3121,3121,353,700
17809,Shoes/Sneakers and Athletic Shoes/Saucony/7882118.30129.jpg,0,4,15,22,79,1442,5116,6640,7025,7150,7189,7196,7196,353,700
46572,Shoes/Sneakers and Athletic Shoes/Lacoste/8082870.3.jpg,0,0,0,0,33,5606,10243,14823,16119,16524,16635,16648,16648,529,204
40207,Boots/Mid-Calf/MIA Limited Edition/8039030.652.jpg,4,2,22,60,275,1385,8185,11380,12223,12493,12573,12584,12584,398,313
42643,Shoes/Sneakers and Athletic Shoes/BOSS Orange/8053193.2295.jpg,0,0,0,5,5,5446,9834,14115,15330,15699,15804,15817,15817,50,620
18533,Sandals/Flat/ECCO/7889421.3.jpg,3,3,6,7,10,1025,1701,2025,2106,7406,7447,7454,7454,1005,1432
32250,Boots/Over the Knee/Geox/8004736.278.jpg,15,3,9,49,181,591,692,774,797,808,811,811,811,709,2053
9638,Shoes/Flats/Vigotti/7687408.283486.jpg,5,3,9,13,15,16,871,3725,3907,3963,3981,3985,3985,551,259
27169,Shoes/Sneakers and Athletic Shoes/Salomon/7982222.396477.jpg,0,6,16,21,27,2527,3795,4817,10185,10389,10463,10474,10474,1663,454
11204,Shoes/Heels/Kate Spade New York/7745492.285930.jpg,2,6,16,21,27,28,1780,4339,4549,4616,4638,4644,4644,1467,1632
26978,Shoes/Sneakers and Athletic Shoes/Chaco Kids/7980535.35888.jpg,0,5,12,70,151,3546,5763,7576,8034,8190,8235,8242,8242,785,371
10136,Shoes/Sneakers and Athletic Shoes/Bloch Kids/7708481.3.jpg,0,7,23,39,265,2135,3131,3910,4104,4167,4187,4192,4192,1072,2498
27503,Shoes/Sneakers and Athletic Shoes/adidas Outdoor/7983901.358492.jpg,0,4,15,22,79,2616,3961,9629,10301,10506,10581,10592,10592,1257,1769
43289,Shoes/Sneakers and Athletic Shoes/PUMA/8058601.382726.jpg,0,5,11,15,18,3905,9929,14273,15508,15883,15989,16002,16002,1372,60
46219,Shoes/Heels/Giuseppe Zanotti/8080632.392753.jpg,2,4,15,20,209,3463,5598,14993,16307,16716,16828,16841,16841,761,1436
11340,Shoes/Sneakers and Athletic Shoes/Polo Ralph Lauren Kids/7748652.43774.jpg,0,1,17,25,365,2385,3497,4392,4603,4671,4693,4699,4699,844,1390
37130,Boots/Knee High/Giuseppe Zanotti/8025522.158.jpg,7,4,29,76,173,1915,7965,11037,11844,12105,12183,12194,12194,530,1039
35512,Shoes/Sneakers and Athletic Shoes/Puma Kids/8020141.369893.jpg,0,1,4,18,149,4960,8686,12171,13113,13420,13505,13516,13516,1190,1307
19897,Shoes/Sneakers and Athletic Shoes/PUMA/7903932.330891.jpg,0,4,15,22,79,517,596,664,3326,3374,3392,3394,3394,480,439
17461,Shoes/Heels/Cole Haan/7879695.331525.jpg,2,4,29,75,402,1582,2430,6573,6954,7079,7117,7124,7124,324,2233
47348,Shoes/Oxfords/BOSS Black/8090830.3.jpg,8,0,18,26,379,4437,7566,10389,11931,12193,12271,12282,12282,674,584
45033,Sandals/Flat/LAUREN Ralph Lauren/8072071.389501.jpg,3,4,15,46,77,372,416,7174,9763,9963,10036,10047,10047,734,1180
29313,Shoes/Heels/Jambu/7993444.405.jpg,2,3,9,13,15,578,7455,10216,10947,11169,11246,11257,11257,1405,2413
22543,Shoes/Heels/Fitzwell/7943620.2986.jpg,2,3,21,50,83,110,621,692,8675,8848,8907,8918,8918,1093,516
19921,Shoes/Loafers/Hush Puppies/7904289.665.jpg,6,5,20,82,294,3020,5631,7364,7803,7954,7997,8004,8004,1838,445
30121,Shoes/Heels/Rockport/7996778.3.jpg,2,4,29,75,342,1224,2192,10501,11260,11490,11568,11579,11579,592,990
19866,Shoes/Sneakers and Athletic Shoes/PUMA/7903784.330803.jpg,0,1,4,18,22,23,24,25,657,665,668,668,668,579,1067
48985,Shoes/Heels/MICHAEL Michael Kors/8115498.89.jpg,2,3,6,12,23,112,987,13215,14313,14653,14748,14761,14761,820,715
10722,Sandals/Flat/Kork-Ease/7728307.59083.jpg,3,2,5,6,244,2269,3327,4157,4360,4426,4447,4453,4453,1647,1633
45007,Shoes/Sneakers and Athletic Shoes/Reebok/8072009.389447.jpg,0,4,15,22,79,5310,9870,14177,15409,15782,15888,15901,15901,480,1881
48771,Sandals/Flat/Nine West/8113354.328.jpg,3,2,5,6,66,1012,8706,15561,16955,17383,17511,17525,17525,811,18
32640,Shoes/Loafers/Think!/8007485.3.jpg,6,3,9,13,113,1016,1284,11343,12182,12452,12532,12543,12543,1258,966
44125,Shoes/Sneakers and Athletic Shoes/Nike/8064694.385402.jpg,0,7,14,19,98,1670,2336,2846,2974,3015,3030,3032,3032,488,2458
49137,Shoes/Heels/Madden Girl/8120038.9450.jpg,2,6,16,21,27,3585,10661,15639,17042,17475,17604,17619,17619,1467,1632
8001,Boots/Mid-Calf/UGG Kids/7633182.18914.jpg,4,5,11,28,143,213,2455,3019,3157,3205,3223,3225,3225,66,417
15647,Boots/Mid-Calf/Old West Kids Boots/7839792.308192.jpg,4,1,4,4,293,2986,4618,5952,6274,6379,6413,6420,6420,1348,167
47304,Shoes/Flats/Bandolino/8090612.3298.jpg,5,3,21,50,83,110,675,755,778,789,792,792,792,1093,516
15992,Shoes/Loafers/Aetrex/7843718.1915.jpg,6,3,6,12,14,936,1161,6073,6406,6517,6551,6558,6558,590,2436
47548,Shoes/Heels/Ivanka Trump/8093414.408241.jpg,2,6,27,74,393,1463,1978,2375,2474,2510,2521,2522,2522,651,1443
41748,Boots/Ankle/Big Buddha/8047085.43863.jpg,1,6,24,94,314,3280,9597,13870,15054,15422,15525,15538,15538,346,1049
9022,Boots/Knee High/La Canadienne/7667930.106.jpg,7,4,29,76,173,1915,2777,3447,3608,3660,3678,3680,3680,530,1039
29484,Shoes/Flats/Umi Kids/7993929.552.jpg,5,0,0,27,285,725,2930,10267,11003,11226,11303,11314,11314,1826,421
29632,Shoes/Firstwalker/Kenneth Cole Reaction Kids/7994576.552.jpg,12,5,20,81,264,2479,3700,10323,11064,11291,11368,11379,11379,540,753
4203,Boots/Mid-Calf/Hatley Kids/7420865.33617.jpg,4,5,20,81,264,1088,1385,1625,1685,1710,1716,1717,1717,847,249
28805,Shoes/Sneakers and Athletic Shoes/Alexander McQueen/7991357.958.jpg,0,0,18,26,379,1353,1788,2127,2216,2248,2257,2258,2258,674,483
35672,Boots/Mid-Calf/Eric Michael/8020581.20.jpg,4,3,9,49,181,591,798,3847,4035,4095,4115,4120,4120,709,2053
1650,Shoes/Boat Shoes/Sperry Top-Sider/7212450.380197.jpg,11,4,15,22,79,512,591,657,680,688,691,691,691,1828,514
48539,Shoes/Clogs and Mules/Softspots/8110601.19.jpg,9,6,27,74,299,815,3651,6004,6333,6441,17482,17496,17496,272,1918
7229,Boots/Ankle/La Sportiva/7604279.2906.jpg,1,1,4,18,22,1002,1268,2242,2336,2370,2380,2381,2381,579,1067
5189,Shoes/Oxfords/Bass/7505581.4082.jpg,8,1,4,18,22,23,24,25,2098,2129,2137,2138,2138,579,1067
10960,Shoes/Heels/Vigotti/7736398.5360.jpg,2,3,6,12,14,183,484,1428,4455,4521,4542,4548,4548,590,2436
28940,Shoes/Heels/Camper/7992087.3.jpg,2,2,30,91,470,2947,4544,9285,9917,10117,10191,10202,10202,1507,1335
1734,Shoes/Oxfords/Mephisto/7218223.50.jpg,8,1,1,1,1,1,1,687,710,719,722,722,722,649,2199
11511,Shoes/Flats/Nina Kids/7752617.276471.jpg,5,5,28,61,424,1743,3537,4451,4669,4738,4760,4766,4766,1338,492
949,Slippers/Slipper Flats/Foamtreads Kids/7157869.559.jpg,10,7,23,45,204,347,385,420,431,437,439,439,439,1262,1081
40764,Shoes/Flats/MICHAEL Michael Kors Kids/8042231.552.jpg,5,5,20,82,255,1573,6640,8952,9559,9750,9821,9832,9832,728,956
41716,Shoes/Sneakers and Athletic Shoes/Under Armour/8047008.151.jpg,0,0,8,30,62,2860,4370,13862,15044,15412,15515,15528,15528,1846,309
21755,Shoes/Sneakers and Athletic Shoes/New Balance/7929054.3.jpg,0,3,6,24,233,3657,5999,7915,8407,8573,8624,8631,8631,1336,2536
7920,Shoes/Sneakers and Athletic Shoes/adidas Running/7629794.320781.jpg,0,5,11,15,18,1152,1479,2994,3131,3178,3196,3198,3198,168,1938
10450,Boots/Mid-Calf/Lassen/7720037.307.jpg,4,3,21,55,178,1532,3222,4038,4238,4303,4323,4328,4328,907,1861
3616,Shoes/Sneakers and Athletic Shoes/New Balance Classics/7373683.322466.jpg,0,3,6,24,65,964,1203,1406,1457,1481,1486,1487,1487,145,2279
13432,Shoes/Oxfords/Keen/7804816.109876.jpg,8,6,16,21,27,1005,1272,5105,5369,5451,5480,5487,5487,1488,265
16605,Shoes/Clogs and Mules/UGG Kids/7862910.278.jpg,9,5,11,57,460,3109,4890,6310,6672,6791,6827,6834,6834,1309,1517
14262,Shoes/Clogs and Mules/Crocs/7818347.68277.jpg,9,3,6,12,14,183,484,535,5713,5803,5832,5839,5839,590,2436
32724,Boots/Ankle/Ariat/8007962.813.jpg,1,3,9,49,180,592,693,775,798,809,812,812,812,1071,781
26426,Boots/Mid-Calf/OluKai/7978226.273286.jpg,4,2,3,3,282,4091,6853,9317,9955,10155,10229,10240,10240,1302,2152
17057,Sandals/Flat/Teva/7873811.20.jpg,3,6,16,21,27,28,483,534,547,555,557,557,557,1467,1632
8207,Shoes/Sneakers and Athletic Shoes/Osiris/7645080.150239.jpg,0,4,15,22,79,1770,2519,3102,3244,3292,3310,3312,3312,1828,514
43907,Shoes/Heels/Stuart Weitzman/8063793.238567.jpg,2,3,6,7,24,25,810,2894,3027,16045,16151,16164,16164,437,783
32870,Shoes/Flats/Garvalin Kids/8008370.147.jpg,5,0,18,86,318,938,1310,11407,12256,12529,12609,12620,12620,425,2245
14323,Boots/Knee High/Fitzwell/7819094.249356.jpg,7,4,25,73,179,2790,4260,5448,5735,5826,5855,5862,5862,1056,221
30802,Shoes/Heels/Stuart Weitzman Bridal & Evening Collection/7999204.217129.jpg,2,4,15,46,77,97,1770,10743,11524,11771,11849,11860,11860,734,1180
28428,Shoes/Sneakers and Athletic Shoes/New Balance/7988740.19673.jpg,0,4,15,22,79,1442,1937,2322,2418,2454,2465,2466,2466,353,700
31697,Boots/Knee High/Frye/8003478.248963.jpg,7,3,7,8,9,2376,6940,11040,11847,12108,12186,12197,12197,29,87
7346,Sandals/Flat/Reef/7606684.373787.jpg,3,5,11,57,108,975,1220,2798,2921,2962,2976,2978,2978,1851,1439
32123,Boots/Ankle/Dr. Martens/8004438.365193.jpg,1,4,25,64,260,866,1064,1221,1261,1282,1286,1287,1287,1154,1775
35352,Shoes/Flats/Propet/8019743.10859.jpg,5,6,13,58,111,161,8649,12118,13053,13359,13443,13454,13454,184,2277
4431,Boots/Ankle/David Tate/7436522.60.jpg,1,2,5,6,66,76,1327,1552,1769,1794,1800,1801,1801,811,18
38211,Shoes/Sneakers and Athletic Shoes/SLVR/8030011.183092.jpg,0,0,18,26,379,1353,1788,2127,2216,2248,2257,2258,2258,674,483
6214,Boots/Mid-Calf/Frye/7559842.68022.jpg,4,3,6,7,61,766,1966,2358,2456,2492,2503,2504,2504,1705,103
3881,Shoes/Sneakers and Athletic Shoes/SKECHERS/7394038.3.jpg,0,6,13,65,135,197,211,222,227,232,234,234,234,1368,1577
14396,Shoes/Prewalker/pediped/7820255.632.jpg,13,1,4,4,157,994,1258,1470,1524,1549,1555,1556,1556,470,2063
7311,Boots/Ankle/Lowa/7606195.223495.jpg,1,1,4,18,22,23,24,2783,2906,2947,2961,2963,2963,579,1067
47702,Shoes/Sneakers and Athletic Shoes/SKECHERS KIDS/8097759.80.jpg,0,5,11,15,148,2257,10507,15345,16717,17142,17259,17273,17273,665,1501
34321,Shoes/Oxfords/Mephisto/8015458.368139.jpg,8,1,17,25,117,2292,6204,11829,12732,13024,13107,13118,13118,1339,2282
23221,Shoes/Sneakers and Athletic Shoes/Columbia/7956904.347826.jpg,0,3,6,24,65,357,5927,7804,8277,8442,8489,8496,8496,51,738
27519,Shoes/Sneakers and Athletic Shoes/ASICS/7984046.358616.jpg,0,4,15,22,79,1630,2453,3017,10312,10517,10592,10603,10603,353,700
21394,Shoes/Heels/Corso Como/7925846.19533.jpg,2,6,13,17,380,1369,1815,2166,2257,2290,2300,2301,2301,201,675
40124,Shoes/Loafers/NO SOX/8038242.401.jpg,6,4,25,47,221,3200,5072,11482,12338,12611,12692,12703,12703,1515,231
13206,Shoes/Boat Shoes/Sperry Top-Sider/7798495.500.jpg,11,7,14,19,307,1455,3952,5025,5279,5360,5387,5394,5394,802,2223
19651,Shoes/Sneakers and Athletic Shoes/Salomon/7901787.330248.jpg,0,6,13,58,138,3443,5561,7272,7702,7851,7893,7900,7900,1568,1527
12474,Boots/Mid-Calf/The North Face/7784987.363707.jpg,4,3,6,7,24,731,3763,4772,5007,5081,5105,5111,5111,1106,1678
8254,Sandals/Flat/KORS Michael Kors/7646718.276017.jpg,3,6,16,48,283,1778,2537,3128,3271,3319,3337,3339,3339,766,1177
12699,Shoes/Sneakers and Athletic Shoes/Nike/7790007.353196.jpg,0,7,14,19,98,570,664,740,763,774,777,777,777,488,2396
28424,Shoes/Sneakers and Athletic Shoes/Hi-Tec/7988678.360035.jpg,0,3,6,24,65,4150,7275,9920,10624,10841,10916,10927,10927,871,200
4119,Boots/Ankle/Frye/7416773.301588.jpg,1,1,1,1,37,1070,1360,1594,1654,1679,1685,1686,1686,35,2445
29754,Shoes/Loafers/Clarks/7995632.18724.jpg,6,3,9,13,113,163,1330,10356,11103,11331,11408,11419,11419,1258,966
41290,Shoes/Loafers/Franco Sarto/8045146.377587.jpg,6,3,9,13,15,578,676,756,779,790,793,793,793,1405,2413
12501,Sandals/Flat/Gentle Souls/7785321.184651.jpg,3,3,6,7,10,1025,1701,4787,5025,5100,5124,5130,5130,1005,1432
6175,Sandals/Flat/Reef/7557470.39688.jpg,3,4,15,20,26,1451,1952,2342,2440,2476,2487,2488,2488,1276,1261
46474,Shoes/Sneakers and Athletic Shoes/SKECHERS/8081986.1151.jpg,0,2,22,38,59,5670,10366,15056,16377,16789,16901,16914,16914,191,2190
16072,Slippers/Slipper Flats/L.B. Evans/7845014.677.jpg,10,7,14,35,55,892,1101,5584,5878,5975,6005,6012,6012,1006,180
23728,Shoes/Sneakers and Athletic Shoes/Brooks/7965716.350967.jpg,0,4,15,22,79,1442,1937,2322,9122,9305,9369,9380,9380,353,700
36470,Shoes/Sneakers and Athletic Shoes/K-Swiss/8023428.371005.jpg,0,7,14,19,98,5029,8820,12408,13381,13695,13782,13793,13793,488,2458
42925,Boots/Mid-Calf/Kenneth Cole Reaction/8055298.3.jpg,4,6,27,59,222,2671,4612,5946,6268,6373,6407,6414,6414,1125,2491
24310,Shoes/Sneakers and Athletic Shoes/Nike Kids/7969887.369174.jpg,0,1,4,18,149,2583,6043,7971,8469,8637,8689,8697,8697,1190,1472
