,label_gran_1,label_gran_2,label_gran_3,label_gran_4,label_gran_5,label_gran_6,label_gran_7,label_gran_8,label_gran_9,label_gran_10,label_gran_11,label_gran_12,label_gran_13,label_gran_14,class,path
30,0,1,2,4,9,18,36,71,114,193,268,331,449,468,0,train/0--Parade/0_Parade_marchingband_1_186.jpg
31,0,1,2,4,9,18,36,71,114,193,268,331,449,468,0,train/0--Parade/0_Parade_marchingband_1_19.jpg
32,1,2,4,9,19,38,76,143,231,368,504,603,773,813,0,train/0--Parade/0_Parade_marchingband_1_193.jpg
33,0,1,2,4,9,18,36,71,114,193,268,331,449,468,0,train/0--Parade/0_Parade_marchingband_1_200.jpg
34,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_205.jpg
35,0,0,0,1,3,6,12,25,39,65,93,118,170,175,0,train/0--Parade/0_Parade_marchingband_1_215.jpg
36,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_218.jpg
37,1,2,5,11,23,47,93,176,288,458,624,752,959,1002,0,train/0--Parade/0_Parade_marchingband_1_219.jpg
38,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_223.jpg
39,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_225.jpg
40,1,2,5,11,23,46,91,171,277,436,593,708,898,941,0,train/0--Parade/0_Parade_marchingband_1_233.jpg
41,1,3,7,15,31,62,120,222,361,573,801,958,1195,1288,0,train/0--Parade/0_Parade_marchingband_1_237.jpg
42,0,1,2,5,11,22,44,85,137,229,320,394,529,557,0,train/0--Parade/0_Parade_marchingband_1_242.jpg
43,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_25.jpg
44,1,3,6,12,25,50,99,186,302,476,652,785,998,1050,0,train/0--Parade/0_Parade_marchingband_1_251.jpg
45,0,1,2,5,11,22,45,87,141,235,329,405,545,574,0,train/0--Parade/0_Parade_marchingband_1_253.jpg
46,1,3,6,13,27,54,106,197,319,502,690,831,1056,1126,0,train/0--Parade/0_Parade_marchingband_1_272.jpg
47,0,1,2,4,9,18,36,71,114,193,269,333,452,473,0,train/0--Parade/0_Parade_marchingband_1_273.jpg
48,0,1,2,4,9,18,36,71,114,194,270,335,456,478,0,train/0--Parade/0_Parade_marchingband_1_278.jpg
49,1,2,4,8,17,34,67,127,206,334,463,555,712,751,0,train/0--Parade/0_Parade_marchingband_1_286.jpg
50,0,0,0,1,2,4,9,19,29,49,69,91,131,136,0,train/0--Parade/0_Parade_marchingband_1_291.jpg
51,0,1,2,4,9,18,36,71,115,195,272,337,459,481,0,train/0--Parade/0_Parade_marchingband_1_295.jpg
52,1,3,7,15,31,63,122,225,368,585,822,985,1227,1325,0,train/0--Parade/0_Parade_marchingband_1_300.jpg
53,1,3,6,13,27,55,108,201,325,513,705,851,1080,1153,0,train/0--Parade/0_Parade_marchingband_1_31.jpg
54,0,1,2,4,8,16,32,63,104,176,242,302,406,419,0,train/0--Parade/0_Parade_marchingband_1_322.jpg
55,1,2,5,11,23,46,91,172,280,443,604,721,917,960,0,train/0--Parade/0_Parade_marchingband_1_325.jpg
56,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_33.jpg
57,1,3,7,15,31,63,122,226,369,587,825,988,1230,1328,0,train/0--Parade/0_Parade_marchingband_1_333.jpg
58,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_334.jpg
59,0,0,0,0,0,0,0,1,2,4,7,11,19,20,0,train/0--Parade/0_Parade_marchingband_1_337.jpg
60,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_341.jpg
61,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_343.jpg
62,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_348.jpg
63,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_35.jpg
64,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_351.jpg
65,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_354.jpg
66,0,1,2,5,11,23,46,89,145,241,339,420,563,595,0,train/0--Parade/0_Parade_marchingband_1_362.jpg
67,1,2,4,9,19,38,75,141,227,362,496,593,758,798,0,train/0--Parade/0_Parade_marchingband_1_364.jpg
68,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_37.jpg
69,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_374.jpg
70,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_377.jpg
71,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_378.jpg
72,0,1,2,5,10,20,41,80,130,217,303,374,503,530,0,train/0--Parade/0_Parade_marchingband_1_381.jpg
73,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_385.jpg
74,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_388.jpg
75,1,3,7,14,29,58,112,208,337,531,736,885,1117,1196,0,train/0--Parade/0_Parade_marchingband_1_400.jpg
76,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_401.jpg
77,0,0,0,1,3,6,13,27,43,73,106,136,198,205,0,train/0--Parade/0_Parade_marchingband_1_408.jpg
78,1,3,6,13,27,54,106,197,318,500,687,827,1051,1121,0,train/0--Parade/0_Parade_marchingband_1_409.jpg
79,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_412.jpg
80,1,3,6,13,27,54,106,197,318,500,687,827,1051,1121,0,train/0--Parade/0_Parade_marchingband_1_416.jpg
81,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_417.jpg
82,0,1,2,5,11,22,44,84,135,225,314,387,519,546,0,train/0--Parade/0_Parade_marchingband_1_419.jpg
83,1,3,6,12,24,48,95,180,295,468,640,771,982,1030,0,train/0--Parade/0_Parade_marchingband_1_422.jpg
84,1,2,5,11,22,45,90,169,273,430,584,699,887,930,0,train/0--Parade/0_Parade_marchingband_1_423.jpg
85,0,1,2,5,10,20,41,80,130,217,303,374,504,531,0,train/0--Parade/0_Parade_marchingband_1_429.jpg
86,1,3,6,12,24,48,95,180,295,468,639,769,979,1025,0,train/0--Parade/0_Parade_marchingband_1_431.jpg
87,1,3,6,12,24,48,95,180,295,468,640,771,982,1030,0,train/0--Parade/0_Parade_marchingband_1_435.jpg
88,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_437.jpg
89,1,2,5,11,23,46,91,172,279,440,599,714,908,951,0,train/0--Parade/0_Parade_marchingband_1_441.jpg
90,1,3,6,13,27,54,106,197,318,500,686,825,1047,1114,0,train/0--Parade/0_Parade_marchingband_1_442.jpg
91,1,2,4,9,19,38,75,141,227,362,496,593,757,797,0,train/0--Parade/0_Parade_marchingband_1_446.jpg
92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,train/0--Parade/0_Parade_marchingband_1_45.jpg
93,1,3,7,15,31,63,122,226,370,590,831,997,1240,1342,0,train/0--Parade/0_Parade_marchingband_1_454.jpg
94,0,1,2,5,11,22,44,85,137,228,319,393,528,556,0,train/0--Parade/0_Parade_marchingband_1_462.jpg
95,1,2,5,10,20,41,81,153,248,392,533,638,819,861,0,train/0--Parade/0_Parade_marchingband_1_464.jpg
96,0,0,0,1,3,6,12,25,39,65,93,118,170,175,0,train/0--Parade/0_Parade_marchingband_1_469.jpg
97,0,1,2,5,11,22,44,85,137,228,318,392,526,554,0,train/0--Parade/0_Parade_marchingband_1_472.jpg
98,1,3,6,13,27,54,107,199,322,507,696,838,1064,1137,0,train/0--Parade/0_Parade_marchingband_1_473.jpg
99,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_475.jpg
100,0,1,2,4,9,18,36,71,114,193,269,333,453,474,0,train/0--Parade/0_Parade_marchingband_1_479.jpg
101,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_48.jpg
102,1,3,7,15,31,63,122,225,367,583,818,981,1222,1320,0,train/0--Parade/0_Parade_marchingband_1_481.jpg
103,1,2,4,9,19,38,75,141,227,362,496,593,758,798,0,train/0--Parade/0_Parade_marchingband_1_483.jpg
104,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_495.jpg
105,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_499.jpg
106,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_5.jpg
107,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_50.jpg
108,0,0,0,0,1,2,4,8,12,19,27,35,54,55,0,train/0--Parade/0_Parade_marchingband_1_502.jpg
109,0,0,0,1,3,6,12,25,39,65,93,118,170,175,0,train/0--Parade/0_Parade_marchingband_1_506.jpg
110,0,1,2,4,8,16,32,63,104,176,242,302,406,419,0,train/0--Parade/0_Parade_marchingband_1_511.jpg
111,0,1,2,4,8,17,34,66,108,184,255,318,432,450,0,train/0--Parade/0_Parade_marchingband_1_512.jpg
112,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_535.jpg
113,1,3,6,13,27,54,107,199,323,509,699,843,1069,1142,0,train/0--Parade/0_Parade_marchingband_1_536.jpg
114,1,2,4,8,17,34,67,127,206,334,463,555,712,751,0,train/0--Parade/0_Parade_marchingband_1_547.jpg
115,0,1,2,4,9,18,36,71,114,193,268,331,449,468,0,train/0--Parade/0_Parade_marchingband_1_574.jpg
116,1,3,7,15,31,63,122,226,369,587,825,988,1230,1328,0,train/0--Parade/0_Parade_marchingband_1_588.jpg
117,1,3,6,13,27,54,107,199,322,507,697,840,1066,1139,0,train/0--Parade/0_Parade_marchingband_1_589.jpg
118,1,3,6,12,25,50,100,187,304,481,662,799,1015,1074,0,train/0--Parade/0_Parade_marchingband_1_594.jpg
119,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_6.jpg
120,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_601.jpg
121,1,2,5,11,22,45,89,167,270,426,578,693,879,922,0,train/0--Parade/0_Parade_marchingband_1_603.jpg
122,0,0,0,1,3,6,12,25,39,65,93,118,170,175,0,train/0--Parade/0_Parade_marchingband_1_614.jpg
123,1,2,4,9,19,38,75,141,227,362,496,593,758,798,0,train/0--Parade/0_Parade_marchingband_1_615.jpg
124,1,2,4,9,19,39,78,147,238,378,515,618,792,834,0,train/0--Parade/0_Parade_marchingband_1_624.jpg
125,1,3,6,13,27,55,108,201,326,514,706,852,1081,1154,0,train/0--Parade/0_Parade_marchingband_1_625.jpg
126,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_628.jpg
127,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_630.jpg
128,1,2,4,9,19,38,75,141,227,363,498,596,763,803,0,train/0--Parade/0_Parade_marchingband_1_631.jpg
129,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_632.jpg
130,0,0,0,1,2,4,8,17,26,43,60,79,111,115,0,train/0--Parade/0_Parade_marchingband_1_639.jpg
131,1,3,6,12,24,48,95,180,295,468,639,769,978,1023,0,train/0--Parade/0_Parade_marchingband_1_641.jpg
132,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_644.jpg
133,1,3,6,13,27,55,108,201,325,512,702,847,1075,1148,0,train/0--Parade/0_Parade_marchingband_1_650.jpg
134,0,0,0,1,2,4,9,18,28,47,65,87,124,129,0,train/0--Parade/0_Parade_marchingband_1_656.jpg
135,1,2,4,9,19,38,75,141,227,362,496,593,758,798,0,train/0--Parade/0_Parade_marchingband_1_657.jpg
136,1,2,5,11,23,46,91,172,280,443,605,723,919,962,0,train/0--Parade/0_Parade_marchingband_1_659.jpg
137,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_66.jpg
138,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_661.jpg
139,1,2,4,9,19,38,75,141,228,364,499,597,765,805,0,train/0--Parade/0_Parade_marchingband_1_663.jpg
140,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_665.jpg
141,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_669.jpg
142,0,0,0,1,3,6,12,25,39,65,93,118,170,175,0,train/0--Parade/0_Parade_marchingband_1_672.jpg
143,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_673.jpg
144,1,3,7,15,31,63,122,226,370,590,831,997,1240,1342,0,train/0--Parade/0_Parade_marchingband_1_685.jpg
145,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_686.jpg
146,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_688.jpg
147,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_689.jpg
148,0,1,2,5,11,22,45,86,139,232,326,402,541,570,0,train/0--Parade/0_Parade_marchingband_1_69.jpg
149,1,3,6,13,27,54,107,199,322,507,696,838,1064,1137,0,train/0--Parade/0_Parade_marchingband_1_692.jpg
150,0,1,2,4,8,16,32,63,104,176,242,302,406,419,0,train/0--Parade/0_Parade_marchingband_1_702.jpg
151,0,1,2,4,9,19,38,75,122,204,286,356,482,508,0,train/0--Parade/0_Parade_marchingband_1_706.jpg
152,1,2,4,9,19,38,76,143,232,370,506,606,777,818,0,train/0--Parade/0_Parade_marchingband_1_709.jpg
153,1,3,6,12,25,50,99,186,302,476,653,787,1002,1056,0,train/0--Parade/0_Parade_marchingband_1_71.jpg
154,1,3,7,14,29,58,112,208,338,533,738,887,1119,1200,0,train/0--Parade/0_Parade_marchingband_1_718.jpg
155,0,0,0,1,2,4,9,19,29,49,69,91,131,136,0,train/0--Parade/0_Parade_marchingband_1_72.jpg
156,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_730.jpg
157,1,2,5,11,23,47,93,175,286,453,618,743,947,990,0,train/0--Parade/0_Parade_marchingband_1_731.jpg
158,0,0,0,1,3,6,12,25,39,65,93,118,169,174,0,train/0--Parade/0_Parade_marchingband_1_732.jpg
159,1,3,6,12,24,48,95,180,295,468,639,769,978,1023,0,train/0--Parade/0_Parade_marchingband_1_743.jpg
160,1,2,5,10,20,41,81,152,246,389,529,634,813,855,0,train/0--Parade/0_Parade_marchingband_1_753.jpg
161,1,3,7,15,31,62,120,221,359,569,794,950,1186,1279,0,train/0--Parade/0_Parade_marchingband_1_757.jpg
162,1,2,5,10,21,42,83,155,250,395,537,644,826,868,0,train/0--Parade/0_Parade_marchingband_1_774.jpg
163,0,1,2,5,11,23,47,91,148,246,344,425,568,600,0,train/0--Parade/0_Parade_marchingband_1_775.jpg
164,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_778.jpg
165,0,1,2,4,9,18,36,70,112,191,264,327,444,463,0,train/0--Parade/0_Parade_marchingband_1_783.jpg
166,0,0,0,0,0,0,0,1,2,4,6,8,14,14,0,train/0--Parade/0_Parade_marchingband_1_796.jpg
167,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_marchingband_1_799.jpg
168,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_8.jpg
169,1,3,6,13,27,54,107,199,322,507,696,838,1064,1137,0,train/0--Parade/0_Parade_marchingband_1_80.jpg
170,0,0,0,0,1,2,4,8,13,22,30,38,59,60,0,train/0--Parade/0_Parade_marchingband_1_801.jpg
171,1,2,4,9,19,38,75,141,227,362,496,593,758,798,0,train/0--Parade/0_Parade_marchingband_1_808.jpg
172,1,3,6,12,25,50,99,186,303,478,656,792,1007,1063,0,train/0--Parade/0_Parade_marchingband_1_813.jpg
173,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_82.jpg
174,1,2,5,11,22,45,89,167,270,426,577,692,878,921,0,train/0--Parade/0_Parade_marchingband_1_826.jpg
175,1,3,6,12,24,48,95,180,295,468,639,769,979,1025,0,train/0--Parade/0_Parade_marchingband_1_840.jpg
176,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_841.jpg
177,0,1,2,4,8,16,32,63,104,176,242,302,405,417,0,train/0--Parade/0_Parade_marchingband_1_842.jpg
178,0,0,0,1,3,6,12,25,40,67,96,124,180,185,0,train/0--Parade/0_Parade_marchingband_1_843.jpg
179,1,2,4,9,19,38,75,141,228,364,499,597,765,805,0,train/0--Parade/0_Parade_marchingband_1_847.jpg
180,1,3,6,12,25,51,101,189,308,485,666,803,1020,1079,0,train/0--Parade/0_Parade_marchingband_1_849.jpg
181,1,3,6,12,24,49,97,183,299,473,647,779,990,1040,0,train/0--Parade/0_Parade_marchingband_1_852.jpg
182,1,2,5,10,20,41,81,153,248,392,533,638,819,861,0,train/0--Parade/0_Parade_marchingband_1_859.jpg
183,1,2,5,11,22,45,89,167,270,426,577,692,878,921,0,train/0--Parade/0_Parade_marchingband_1_872.jpg
184,1,2,4,9,18,36,71,133,215,346,478,573,732,772,0,train/0--Parade/0_Parade_marchingband_1_873.jpg
185,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_88.jpg
186,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,train/0--Parade/0_Parade_marchingband_1_887.jpg
187,1,3,6,13,26,52,103,192,312,491,674,812,1031,1095,0,train/0--Parade/0_Parade_marchingband_1_895.jpg
188,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_897.jpg
189,1,2,4,9,18,36,71,133,215,346,478,573,732,772,0,train/0--Parade/0_Parade_marchingband_1_901.jpg
190,1,3,6,12,25,50,99,186,303,478,656,792,1007,1063,0,train/0--Parade/0_Parade_marchingband_1_905.jpg
191,1,2,4,8,17,34,67,127,206,334,463,555,712,751,0,train/0--Parade/0_Parade_marchingband_1_911.jpg
192,0,0,0,1,3,6,12,25,39,65,93,118,169,174,0,train/0--Parade/0_Parade_marchingband_1_913.jpg
193,1,3,7,15,31,63,122,226,370,589,830,996,1239,1340,0,train/0--Parade/0_Parade_marchingband_1_921.jpg
194,1,2,5,11,22,44,87,163,264,418,566,679,861,903,0,train/0--Parade/0_Parade_marchingband_1_925.jpg
195,1,3,6,13,27,55,108,201,325,512,703,849,1077,1150,0,train/0--Parade/0_Parade_marchingband_1_928.jpg
196,0,1,2,4,8,16,32,63,104,176,242,302,406,419,0,train/0--Parade/0_Parade_marchingband_1_930.jpg
197,1,2,4,9,18,36,72,135,218,350,483,579,740,780,0,train/0--Parade/0_Parade_marchingband_1_931.jpg
198,1,3,7,15,30,61,119,219,357,565,788,944,1179,1272,0,train/0--Parade/0_Parade_marchingband_1_933.jpg
199,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_939.jpg
200,1,3,6,13,27,54,106,197,318,500,686,825,1048,1116,0,train/0--Parade/0_Parade_marchingband_1_94.jpg
201,1,2,4,9,19,38,75,141,227,362,496,593,758,798,0,train/0--Parade/0_Parade_marchingband_1_940.jpg
202,1,3,6,12,24,48,95,180,295,468,639,769,979,1025,0,train/0--Parade/0_Parade_marchingband_1_941.jpg
203,1,2,4,8,17,34,67,127,206,334,463,555,712,751,0,train/0--Parade/0_Parade_marchingband_1_95.jpg
204,0,0,0,0,1,2,4,9,14,23,32,40,62,64,0,train/0--Parade/0_Parade_Parade_0_1014.jpg
205,1,3,6,12,24,48,95,180,295,468,639,769,979,1025,0,train/0--Parade/0_Parade_Parade_0_1019.jpg
206,0,1,2,4,8,16,32,63,104,176,242,302,406,419,0,train/0--Parade/0_Parade_Parade_0_1041.jpg
207,1,3,6,13,27,54,106,197,318,500,686,825,1047,1114,0,train/0--Parade/0_Parade_Parade_0_1042.jpg
208,1,3,7,15,31,63,123,228,374,598,845,1011,1256,1361,0,train/0--Parade/0_Parade_Parade_0_106.jpg
209,0,0,1,3,7,15,30,58,96,162,223,277,375,385,0,train/0--Parade/0_Parade_Parade_0_109.jpg
210,1,2,4,9,19,38,75,141,227,363,498,596,763,803,0,train/0--Parade/0_Parade_Parade_0_11.jpg
211,1,3,6,13,27,55,108,201,325,513,705,851,1080,1153,0,train/0--Parade/0_Parade_Parade_0_110.jpg
212,1,3,7,15,31,62,121,223,363,576,807,967,1205,1302,0,train/0--Parade/0_Parade_Parade_0_126.jpg
213,1,3,6,12,25,50,99,186,302,476,653,787,1002,1056,0,train/0--Parade/0_Parade_Parade_0_127.jpg
214,1,3,7,15,30,60,116,215,349,552,768,924,1158,1248,0,train/0--Parade/0_Parade_Parade_0_129.jpg
215,1,3,6,13,27,55,108,201,326,514,707,853,1082,1156,0,train/0--Parade/0_Parade_Parade_0_132.jpg
216,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_Parade_0_136.jpg
217,0,1,2,4,9,18,37,73,118,200,280,348,474,499,0,train/0--Parade/0_Parade_Parade_0_138.jpg
218,0,1,2,4,9,18,36,70,112,191,264,327,444,463,0,train/0--Parade/0_Parade_Parade_0_140.jpg
219,1,3,7,15,31,63,123,228,374,597,842,1008,1253,1358,0,train/0--Parade/0_Parade_Parade_0_142.jpg
220,0,1,2,5,11,22,44,85,137,228,318,391,525,553,0,train/0--Parade/0_Parade_Parade_0_145.jpg
221,0,1,2,5,10,20,40,78,127,212,295,365,493,519,0,train/0--Parade/0_Parade_Parade_0_148.jpg
222,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_Parade_0_15.jpg
223,0,1,2,5,11,23,47,91,149,247,346,427,571,603,0,train/0--Parade/0_Parade_Parade_0_156.jpg
224,1,3,7,15,31,62,120,222,362,575,805,964,1202,1299,0,train/0--Parade/0_Parade_Parade_0_162.jpg
225,0,0,0,0,1,2,4,9,14,23,32,40,62,64,0,train/0--Parade/0_Parade_Parade_0_167.jpg
226,0,0,0,0,0,0,1,2,4,8,13,19,28,29,0,train/0--Parade/0_Parade_Parade_0_17.jpg
227,0,1,2,4,8,16,33,65,107,183,252,315,426,443,0,train/0--Parade/0_Parade_Parade_0_171.jpg
228,0,1,2,5,11,22,44,85,138,230,323,398,536,565,0,train/0--Parade/0_Parade_Parade_0_176.jpg
229,0,1,2,5,11,23,47,90,147,245,343,424,567,599,0,train/0--Parade/0_Parade_Parade_0_178.jpg
230,1,3,6,13,27,54,106,197,318,500,687,827,1051,1121,0,train/0--Parade/0_Parade_Parade_0_179.jpg
