,path,class,image_id,label_gran_3,label_gran_5,label_gran_7,label_gran_10,label_gran_15,label_gran_20,label_gran_25,label_gran_30,label_gran_50,label_gran_70,label_gran_100,label_gran_150,label_gran_200,label_gran_300
42,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,1,43,2,1,20,7,139,1474,4032,942,2482,772,5233,2433,3990,5546
45,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,1,46,2,18,57,677,733,323,4650,2467,3821,3306,264,2653,3777,3336
48,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,1,49,2,18,76,646,248,3795,3390,827,1565,1505,1479,1742,258,5861
50,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,1,51,7,13,97,542,904,2559,1981,2252,537,5881,2367,3169,2896,3476
52,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,1,53,7,6,9,534,908,2253,2238,1287,5255,3455,971,3647,1815,5886
54,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,55,2,18,92,618,1501,2702,2905,4813,868,2830,3340,3117,4581,5913
55,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,1,56,7,13,25,140,1795,3494,628,5274,2520,423,325,3824,2772,2353
57,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,1,58,7,13,97,542,261,78,975,2350,2182,1093,986,4118,38,1007
59,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,1,60,7,13,97,542,1728,223,657,2497,3611,1122,4201,1731,672,2782
61,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,2,62,2,18,76,394,2345,1721,4271,5350,2469,4624,5789,1044,988,2647
63,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,2,64,7,13,25,683,13,2087,3405,4154,1497,4343,2775,5656,1576,2346
65,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,2,66,2,18,57,677,814,2565,857,3730,1752,4192,3618,1425,294,4220
66,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,2,67,2,18,76,394,807,2810,3432,3895,3954,4416,340,4286,1922,3055
68,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,2,69,2,18,76,394,807,2810,2271,4216,1544,3835,5113,1683,3170,2916
71,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,2,72,2,18,57,545,1864,2209,4967,1465,2254,4956,4967,852,3381,2143
72,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,2,73,2,18,57,677,1661,1147,4196,3588,1965,768,5824,256,5339,1410
73,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,2,74,2,18,76,394,396,1525,3393,1646,939,5831,2479,4794,4698,4432
74,002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,2,75,2,19,113,502,183,225,495,431,3222,3199,5134,2817,1283,4850
76,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,2,77,7,13,25,683,2049,2544,4968,1668,5075,4777,4772,396,5272,2528
77,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,2,78,7,13,25,683,227,2127,4762,2141,5854,3810,2783,436,218,2335
79,002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,2,80,2,18,76,394,339,3896,3574,829,114,2218,2074,5755,4514,3170
80,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,2,81,2,18,77,579,151,2309,4962,4785,1674,1146,3218,5782,5735,941
83,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,2,84,2,18,76,394,954,1519,2991,3712,3141,4979,2118,5717,459,4197
85,002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,2,86,2,18,57,545,1141,3835,344,4191,74,5727,2657,5713,3827,3593
88,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,2,89,2,18,92,556,1067,4087,2363,852,5200,5703,2989,480,830,4194
95,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,2,96,2,18,92,618,455,4150,4364,3093,1044,2534,3219,4946,3854,2220
96,002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,2,97,2,18,76,394,912,3673,5049,892,2082,5391,1081,5502,5869,560
98,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,2,99,2,18,57,545,113,4165,2807,2939,4680,380,854,3254,611,1442
101,002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,2,102,2,18,57,545,1141,1731,2434,388,3257,2643,4454,2621,4997,3455
103,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,2,104,7,13,97,542,1488,2457,2822,3695,662,3046,451,2863,582,5191
104,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,2,105,2,18,57,545,1141,1731,2434,554,1819,438,2557,1904,1635,5135
108,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,2,109,7,13,97,542,261,78,4219,5392,437,2801,2030,2316,2006,2193
109,002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,2,110,7,13,97,542,542,4048,562,2472,5592,3186,3714,1789,2189,4310
110,002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,2,111,2,18,57,545,1141,1731,2434,1033,4455,2953,883,1545,2326,3301
112,002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,2,113,2,18,92,526,1874,2716,3132,4647,1036,692,4965,2637,2128,1721
114,002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,2,115,2,18,57,545,1864,2617,5044,239,1889,2819,2005,2086,162,1423
115,002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,2,116,0,26,106,321,1681,1681,5229,3029,2131,4013,2097,2836,64,3536
116,002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,2,117,6,25,34,575,843,2732,2302,4395,2213,1073,4462,2077,3820,1876
119,002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,2,120,2,18,57,545,178,4109,1611,3941,1432,3257,5787,5710,939,2630
120,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,3,121,2,1,126,141,1217,2439,3715,349,3816,3986,351,5005,3862,5384
121,003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,3,122,0,10,89,490,1640,3387,536,2887,5231,2319,1581,1618,2315,2457
122,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,3,123,2,1,50,184,939,2688,5250,1573,2656,4557,5506,303,4271,2887
123,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,3,124,2,1,40,478,989,1820,729,3529,2527,1683,218,748,5100,3696
124,003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,3,125,0,10,89,692,932,757,2444,2342,4912,469,2959,4511,1090,2540
126,003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,3,127,7,6,9,182,92,3739,303,2996,3800,5573,5259,185,2533,2699
127,003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,3,128,2,1,20,7,1764,3638,1841,3961,4897,5047,5674,1202,3375,1686
130,003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,3,131,7,13,97,542,261,3087,202,3086,571,2355,520,1911,1503,4729
135,003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,3,136,2,18,76,630,1649,2130,2716,3896,5310,4685,3653,1438,4892,5208
136,003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,3,137,2,1,40,70,1672,3089,3134,2275,5009,2469,4234,3916,2153,3703
137,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,3,138,2,1,20,7,1764,3422,1917,649,666,4463,1610,5181,481,3128
139,003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg,3,140,7,6,104,24,1107,1163,3210,3618,2828,4009,3791,2162,2330,3974
140,003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg,3,141,0,21,118,724,180,2888,834,493,1944,5571,5668,3687,4244,3893
141,003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg,3,142,7,6,104,283,2014,2502,1598,2159,474,5120,4081,4591,3968,1709
142,003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg,3,143,7,13,97,46,1361,1857,2965,1676,5334,5644,2354,5370,1441,2450
144,003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg,3,145,2,1,40,612,1486,3189,4706,876,1048,3142,1323,1144,4842,5387
147,003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg,3,148,2,1,50,184,415,2503,2400,1589,4035,5768,1917,3573,4787,432
150,003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg,3,151,1,20,51,517,1198,1377,4812,392,3688,4165,3020,1781,436,2620
151,003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,3,152,2,1,50,184,1375,2902,299,5152,3855,4166,3407,5223,274,825
152,003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,3,153,7,13,97,542,261,78,975,3758,5647,1663,1202,5799,4349,3769
157,003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,3,158,2,18,57,677,148,630,89,2832,4866,2959,4198,881,5354,2369
158,003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg,3,159,2,1,20,7,1255,3898,1728,957,4740,3641,3006,1942,3728,2094
159,003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,3,160,2,1,20,628,826,2899,1063,835,2226,1929,1746,3400,4479,2924
163,003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg,3,164,2,18,92,618,1449,3241,966,4211,5169,4788,5068,268,9,4269
165,003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg,3,166,1,11,84,774,678,3830,1417,5559,2793,4084,2032,2091,1724,2349
167,003.Sooty_Albatross/Sooty_Albatross_0040_796375.jpg,3,168,2,1,50,184,415,3195,685,1135,4753,3703,4381,343,2329,1399
171,003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg,3,172,1,17,48,305,1290,2487,2948,3128,5051,1559,797,5608,5406,5280
173,003.Sooty_Albatross/Sooty_Albatross_0019_796391.jpg,3,174,2,1,40,612,1486,1404,2630,3351,2474,3112,5774,1185,2657,391
175,003.Sooty_Albatross/Sooty_Albatross_0022_796398.jpg,3,176,2,1,50,184,1375,2902,4375,4440,5782,4682,781,1132,4945,2861
176,003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,3,177,7,13,97,74,1378,356,191,3672,5176,1744,2429,3932,2292,5701
180,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,4,181,2,18,76,630,1236,260,1597,47,3912,3308,5554,5022,391,4207
181,004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,4,182,0,10,116,705,1130,120,853,1441,236,2600,4567,819,5370,3469
183,004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg,4,184,4,29,32,493,2348,3722,2689,1770,5650,1181,5472,5125,4036,3116
186,004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg,4,187,4,15,18,442,256,4174,1890,5020,886,5086,5115,3853,680,3788
187,004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg,4,188,1,20,51,517,1198,21,1630,4051,4617,1500,4513,3404,5175,3285
188,004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg,4,189,5,5,67,449,1151,1924,42,3397,4028,3341,3497,3110,3423,5838
193,004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg,4,194,1,20,51,517,1198,21,1630,4051,4745,2973,4635,4771,542,364
194,004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg,4,195,1,20,51,517,1198,21,2830,811,1897,808,728,5218,3946,859
195,004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg,4,196,1,20,51,517,1198,21,1630,1975,973,4405,830,1853,5697,5478
196,004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg,4,197,2,31,26,687,1367,625,2907,790,141,2413,3367,208,1046,5020
201,004.Groove_billed_Ani/Groove_Billed_Ani_0051_1650.jpg,4,202,2,1,40,366,535,1793,3779,4960,3059,4110,5404,3472,4322,4708
202,004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg,4,203,7,13,97,542,1488,2457,2425,2888,5433,2762,3239,2537,355,193
203,004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg,4,204,2,1,40,612,1486,3189,4706,876,2325,1014,3028,4904,2685,1368
205,004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg,4,206,1,20,51,517,1198,21,1630,5099,5234,2910,5893,4076,1027,4441
208,004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg,4,209,1,17,48,460,1830,397,3825,3171,650,3444,5,5725,3778,3038
212,004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg,4,213,5,27,102,222,1169,2764,2386,3669,30,5493,3839,2764,1077,1631
214,004.Groove_billed_Ani/Groove_Billed_Ani_0077_1724.jpg,4,215,3,9,112,332,381,407,115,5226,1686,5227,2973,3382,2432,1137
215,004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg,4,216,1,20,51,517,1198,21,4340,1566,4968,797,1722,5436,4108,1153
217,004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,4,218,7,6,8,207,2238,3237,997,1988,3944,1546,5596,1461,2127,3365
219,004.Groove_billed_Ani/Groove_Billed_Ani_0023_1485.jpg,4,220,5,8,90,383,786,1268,2067,5014,581,919,2232,2735,3823,5408
220,004.Groove_billed_Ani/Groove_Billed_Ani_0004_1528.jpg,4,221,4,15,18,442,256,4174,1890,2065,5219,4949,1327,2961,1344,269
221,004.Groove_billed_Ani/Groove_Billed_Ani_0056_1493.jpg,4,222,7,13,97,542,1488,2457,2425,2888,5433,2762,3239,120,2842,2729
223,004.Groove_billed_Ani/Groove_Billed_Ani_0058_1751.jpg,4,224,2,31,100,41,865,1531,3801,3181,2975,2668,4523,5536,4843,5467
224,004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg,4,225,1,20,51,517,1198,21,1630,3477,2043,4916,970,4010,5400,4833
226,004.Groove_billed_Ani/Groove_Billed_Ani_0055_1501.jpg,4,227,1,12,53,58,173,209,2580,1318,5702,5114,379,2007,2478,2280
227,004.Groove_billed_Ani/Groove_Billed_Ani_0065_1502.jpg,4,228,5,27,102,222,1161,357,5205,2375,3362,877,4744,5062,3342,3923
229,004.Groove_billed_Ani/Groove_Billed_Ani_0006_1763.jpg,4,230,3,9,112,332,381,407,115,5226,3278,3409,2391,3917,4996,3433
231,004.Groove_billed_Ani/Groove_Billed_Ani_0061_1510.jpg,4,232,2,19,120,503,1811,4058,4056,3845,3983,2956,453,935,216,367
234,004.Groove_billed_Ani/Groove_Billed_Ani_0032_1776.jpg,4,235,4,15,18,442,447,2978,1833,3404,1659,1930,5940,1263,5608,5326
237,004.Groove_billed_Ani/Groove_Billed_Ani_0012_1784.jpg,4,238,4,3,41,775,249,291,3490,1256,4892,3494,4518,341,5172,4728
240,005.Crested_Auklet/Crested_Auklet_0061_794904.jpg,5,241,7,13,97,542,1488,2457,3476,1281,5820,21,104,4241,1382,1371
241,005.Crested_Auklet/Crested_Auklet_0018_1817.jpg,5,242,1,12,60,623,294,880,1867,1864,3412,3161,1495,1491,0,4055
242,005.Crested_Auklet/Crested_Auklet_0010_794907.jpg,5,243,4,29,32,493,163,2211,5247,4893,1236,1209,3613,4147,5916,2885
244,005.Crested_Auklet/Crested_Auklet_0029_1824.jpg,5,245,7,22,119,168,1413,3595,334,4999,2020,2726,706,5011,3267,236
246,005.Crested_Auklet/Crested_Auklet_0013_794914.jpg,5,247,2,19,120,503,1811,338,2587,5229,2525,5341,2414,1493,894,4685
247,005.Crested_Auklet/Crested_Auklet_0047_794918.jpg,5,248,1,12,53,45,1837,2689,2928,3813,966,3192,5860,955,2639,4979
248,005.Crested_Auklet/Crested_Auklet_0005_794922.jpg,5,249,2,19,120,503,1811,4058,1973,4716,2481,3488,915,471,4115,4570
249,005.Crested_Auklet/Crested_Auklet_0019_794925.jpg,5,250,1,12,53,58,173,809,5188,1951,1001,4992,684,25,3925,5629
252,005.Crested_Auklet/Crested_Auklet_0032_794931.jpg,5,253,2,19,120,503,1811,4058,1973,4716,2972,3840,295,2756,3979,1506
253,005.Crested_Auklet/Crested_Auklet_0057_794932.jpg,5,254,2,19,120,503,563,1321,2836,992,129,3345,1846,5275,2299,2462
255,005.Crested_Auklet/Crested_Auklet_0045_794940.jpg,5,256,2,19,120,503,1811,4106,5169,1454,3467,1383,3952,2944,1920,4931
256,005.Crested_Auklet/Crested_Auklet_0001_794941.jpg,5,257,2,19,113,767,974,2769,101,1447,3678,6,738,1969,2984,4222
257,005.Crested_Auklet/Crested_Auklet_0039_794944.jpg,5,258,2,1,50,184,415,1012,2045,1362,5320,5324,5409,5088,2085,2992
260,005.Crested_Auklet/Crested_Auklet_0052_794952.jpg,5,261,2,19,120,503,1811,4058,1973,4716,2481,2566,5588,3435,5576,1355
261,005.Crested_Auklet/Crested_Auklet_0012_794960.jpg,5,262,2,18,57,677,148,630,89,2832,3417,3512,2506,2247,5808,510
262,005.Crested_Auklet/Crested_Auklet_0003_794962.jpg,5,263,2,31,121,532,1059,1694,4793,894,4168,2249,1411,3765,3039,5296
263,005.Crested_Auklet/Crested_Auklet_0033_794964.jpg,5,264,2,19,120,503,563,2968,968,791,3974,585,5053,5484,791,2649
265,005.Crested_Auklet/Crested_Auklet_0062_794968.jpg,5,266,2,19,113,767,2116,1632,3652,5400,1259,529,4762,2218,1473,2973
266,005.Crested_Auklet/Crested_Auklet_0073_785248.jpg,5,267,2,19,120,503,1811,4058,1973,4716,3038,412,3971,3042,4987,4380
267,005.Crested_Auklet/Crested_Auklet_0067_785249.jpg,5,268,2,19,108,355,1516,2175,2729,3340,1435,4203,5049,102,4741,5110
268,005.Crested_Auklet/Crested_Auklet_0066_785251.jpg,5,269,1,12,53,363,1879,1250,4457,2256,1480,4111,988,1226,556,71
269,005.Crested_Auklet/Crested_Auklet_0076_785252.jpg,5,270,2,19,120,13,384,2119,5096,3478,1025,5385,5901,1842,4602,3793
271,005.Crested_Auklet/Crested_Auklet_0071_785255.jpg,5,272,1,12,19,139,593,760,1961,345,980,2532,5138,1452,4408,1513
272,005.Crested_Auklet/Crested_Auklet_0077_785257.jpg,5,273,2,19,120,503,2287,307,1738,4095,551,831,5154,1335,5815,1414
273,005.Crested_Auklet/Crested_Auklet_0069_785258.jpg,5,274,2,19,113,325,1479,3274,4891,4339,2085,314,2581,4075,92,1452
274,005.Crested_Auklet/Crested_Auklet_0075_785259.jpg,5,275,2,19,108,355,797,3953,496,2703,442,3979,5782,829,5952,2033
275,005.Crested_Auklet/Crested_Auklet_0072_785260.jpg,5,276,7,22,79,716,624,1046,4353,1538,5721,962,4007,5450,1247,5459
277,005.Crested_Auklet/Crested_Auklet_0063_794901.jpg,5,278,2,19,113,767,2116,1632,1401,4502,605,204,5329,4217,5974,1557
279,005.Crested_Auklet/Crested_Auklet_0030_794937.jpg,5,280,2,19,120,503,1811,4058,4056,3713,3822,1438,3696,2186,4584,2720
280,005.Crested_Auklet/Crested_Auklet_0040_794912.jpg,5,281,2,19,120,503,1811,4058,157,4167,563,3936,5661,1631,3916,584
282,006.Least_Auklet/Least_Auklet_0035_1888.jpg,6,283,7,28,28,245,207,1957,3136,1282,3331,4936,4780,457,484,1574
283,006.Least_Auklet/Least_Auklet_0050_1924.jpg,6,284,7,28,45,96,1110,3968,891,1246,4645,9,3526,4933,3337,2989
284,006.Least_Auklet/Least_Auklet_0058_1931.jpg,6,285,0,14,98,113,1387,3069,4583,201,2375,3175,4409,2443,1119,4693
286,006.Least_Auklet/Least_Auklet_0016_1903.jpg,6,287,7,22,16,481,1028,709,4935,5449,5447,5389,4067,5544,1755,5729
287,006.Least_Auklet/Least_Auklet_0040_795100.jpg,6,288,0,21,83,40,1386,2951,1869,3022,938,32,256,5913,5897,4199
288,006.Least_Auklet/Least_Auklet_0015_795065.jpg,6,289,0,21,83,619,1444,1285,1804,2389,193,639,3004,403,2394,4655
289,006.Least_Auklet/Least_Auklet_0026_795066.jpg,6,290,6,7,127,485,331,1873,4221,2280,4844,1852,1128,240,4035,2914
290,006.Least_Auklet/Least_Auklet_0043_795067.jpg,6,291,7,28,45,232,1079,3479,3322,2667,157,2687,65,1651,5925,3407
292,006.Least_Auklet/Least_Auklet_0045_795069.jpg,6,293,5,5,109,570,1816,2237,4652,2060,5040,4168,822,3515,5036,2870
293,006.Least_Auklet/Least_Auklet_0008_795071.jpg,6,294,0,14,7,727,230,608,315,2862,1419,4352,4861,178,2214,3112
294,006.Least_Auklet/Least_Auklet_0012_795074.jpg,6,295,7,22,119,168,1413,3595,3662,68,5739,4313,3686,2339,5733,3813
295,006.Least_Auklet/Least_Auklet_0018_795077.jpg,6,296,5,27,27,291,1609,3254,2036,3312,1905,4262,145,5190,2198,3529
296,006.Least_Auklet/Least_Auklet_0020_795080.jpg,6,297,7,28,45,380,1978,135,501,328,1601,4082,3039,1348,4147,1784
298,006.Least_Auklet/Least_Auklet_0017_795084.jpg,6,299,7,28,45,96,1110,3968,891,427,4371,5738,4645,1019,217,2262
300,006.Least_Auklet/Least_Auklet_0052_795088.jpg,6,301,1,20,42,226,717,1583,2300,1515,338,4322,5353,3384,4915,307
301,006.Least_Auklet/Least_Auklet_0027_795091.jpg,6,302,5,5,67,315,1078,88,4411,2480,902,159,2330,3686,4855,2090
302,006.Least_Auklet/Least_Auklet_0010_795092.jpg,6,303,0,14,98,92,89,261,842,1539,4348,4454,1492,3802,156,4116
304,006.Least_Auklet/Least_Auklet_0060_795095.jpg,6,305,7,28,45,232,1941,3183,3442,1099,4953,2215,4954,4701,5296,1093
305,006.Least_Auklet/Least_Auklet_0034_795096.jpg,6,306,7,28,28,245,207,1957,3998,4426,2118,4348,2376,4869,513,5458
306,006.Least_Auklet/Least_Auklet_0042_1874.jpg,6,307,0,14,98,113,14,2903,1296,2041,5028,371,2968,4352,3471,4296
309,006.Least_Auklet/Least_Auklet_0011_795109.jpg,6,310,1,20,23,573,2100,2653,2236,256,2861,5664,573,5002,2889,659
312,006.Least_Auklet/Least_Auklet_0030_795116.jpg,6,313,7,22,16,69,2066,674,2266,3455,3860,3730,1654,2495,5881,5617
315,006.Least_Auklet/Least_Auklet_0024_795120.jpg,6,316,4,15,18,217,2265,267,4830,1722,3457,1590,2653,601,4480,4047
316,006.Least_Auklet/Least_Auklet_0029_795122.jpg,6,317,6,2,35,195,2028,250,4451,2417,4443,2110,29,569,5243,5457
317,006.Least_Auklet/Least_Auklet_0007_795123.jpg,6,318,7,13,97,542,1488,2457,3476,1281,5820,21,5760,5875,1201,3612
318,006.Least_Auklet/Least_Auklet_0057_795126.jpg,6,319,2,31,101,316,1617,1662,1375,3457,379,3999,2919,3527,398,5676
319,006.Least_Auklet/Least_Auklet_0021_795127.jpg,6,320,7,22,119,124,434,2492,654,3178,679,758,1593,1879,5686,745
320,006.Least_Auklet/Least_Auklet_0054_795130.jpg,6,321,7,13,97,542,1557,2709,2276,2567,806,1210,821,4829,2870,2810
321,006.Least_Auklet/Least_Auklet_0038_795132.jpg,6,322,0,21,83,619,1901,281,3380,3878,3288,1227,4365,5421,4324,3542
322,006.Least_Auklet/Least_Auklet_0063_795134.jpg,6,323,7,28,45,380,1978,135,1997,896,2448,459,3590,5682,330,5398
323,007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg,7,324,7,22,79,716,1917,224,2069,2208,5570,5844,2041,3571,5410,1445
325,007.Parakeet_Auklet/Parakeet_Auklet_0027_795925.jpg,7,326,2,19,120,654,376,3245,1509,4685,4610,4527,5206,5977,4544,3074
326,007.Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg,7,327,0,21,94,742,1149,2179,3987,1261,31,369,5434,2479,871,5937
327,007.Parakeet_Auklet/Parakeet_Auklet_0012_795927.jpg,7,328,7,22,58,32,1134,488,3115,5272,5577,85,1694,539,1679,4470
330,007.Parakeet_Auklet/Parakeet_Auklet_0007_795932.jpg,7,331,0,21,94,742,1882,724,1152,4673,5706,2088,1203,3387,4240,2895
331,007.Parakeet_Auklet/Parakeet_Auklet_0041_795933.jpg,7,332,1,12,53,45,682,1526,4284,3570,2416,2202,3066,5042,1704,880
