,label_gran_0,label_gran_1,label_gran_2,label_gran_3,label_gran_4,label_gran_5,class,path
43,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Reebok/8071496.2125.jpg
44,3,1,0,0,0,0,1,Boots/Ankle/adidas Outdoor/7983350.358221.jpg
45,11,5,2,1,0,0,2,Shoes/Heels/Cole Haan/7879695.208905.jpg
46,8,4,2,1,0,0,6,Shoes/Loafers/Bass/8028851.372739.jpg
47,17,8,4,2,1,0,3,Sandals/Flat/Rieker/7775875.585.jpg
48,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Stride Rite/7896847.359.jpg
49,8,4,2,1,0,0,6,Shoes/Loafers/SKECHERS/7898479.14.jpg
50,3,1,0,0,0,0,1,Boots/Ankle/Scarpa/7742150.401.jpg
51,11,5,2,1,0,0,2,Shoes/Heels/Nine West/7798031.372438.jpg
52,15,7,3,1,0,0,7,Boots/Knee High/Annie/8016034.7294.jpg
53,11,5,2,1,0,0,2,Shoes/Heels/Type Z/8014058.29818.jpg
54,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Merrell/7813012.1681.jpg
55,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/adidas/7976296.355644.jpg
56,10,5,2,1,0,0,4,Boots/Mid-Calf/Calvin Klein/8035140.20847.jpg
57,17,8,4,2,1,0,3,Sandals/Flat/Volcom/7903807.91914.jpg
58,12,6,3,1,0,0,5,Shoes/Flats/Morgan&Milo Kids/7945515.585.jpg
59,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/adidas Originals Kids/7763946.371522.jpg
60,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Globe/7559627.359577.jpg
61,15,7,3,1,0,0,7,Boots/Knee High/Cole Haan/8000921.106.jpg
62,0,0,0,0,0,0,8,Shoes/Oxfords/Dr. Martens/7348547.31237.jpg
63,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Vans/7579608.384912.jpg
64,10,5,2,1,0,0,4,Boots/Mid-Calf/Columbia/7796329.156516.jpg
65,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/ASICS/7976630.355800.jpg
66,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Vans Kids/7241786.389242.jpg
67,12,6,3,1,0,0,5,Shoes/Flats/ECCO/7770591.299069.jpg
68,17,8,4,2,1,0,3,Sandals/Flat/Havaianas Kids/7821698.3.jpg
69,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/8065327.7102.jpg
70,10,5,2,1,0,0,4,Boots/Mid-Calf/Naturino/7810029.3.jpg
71,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Tsukihoshi Kids/7334943.3098.jpg
72,12,6,3,1,0,0,5,Shoes/Flats/Keds Kids/8014517.552.jpg
73,17,8,4,2,1,0,3,Sandals/Flat/Salvatore Ferragamo/7902689.5291.jpg
74,11,5,2,1,0,0,2,Shoes/Heels/Betsey Johnson/7979260.687.jpg
75,14,7,3,1,0,0,9,Shoes/Clogs and Mules/Fly Flot/7781597.11.jpg
76,17,8,4,2,1,0,3,Sandals/Flat/Kenneth Cole Reaction Kids/7896290.30544.jpg
77,11,5,2,1,0,0,2,Shoes/Heels/Stuart Weitzman/7999491.106.jpg
78,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Vibram FiveFingers/8146855.312577.jpg
79,3,1,0,0,0,0,1,Boots/Ankle/Steve Madden/8098778.691.jpg
80,17,8,4,2,1,0,3,Sandals/Flat/Sbicca/8023081.1430.jpg
81,17,8,4,2,1,0,3,Sandals/Flat/Naughty Monkey/8112749.3.jpg
82,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nurse Mates/7134688.3.jpg
83,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Bikkembergs/8032240.158.jpg
84,3,1,0,0,0,0,1,Boots/Ankle/ECCO/7814799.345607.jpg
85,17,8,4,2,1,0,3,Sandals/Flat/Ocean Minded/7217911.16158.jpg
86,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Saucony/7882335.11319.jpg
87,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Saucony/7882118.30129.jpg
88,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Lacoste/8082870.3.jpg
89,10,5,2,1,0,0,4,Boots/Mid-Calf/MIA Limited Edition/8039030.652.jpg
90,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/BOSS Orange/8053193.2295.jpg
91,17,8,4,2,1,0,3,Sandals/Flat/ECCO/7889421.3.jpg
92,19,9,4,2,1,0,15,Boots/Over the Knee/Geox/8004736.278.jpg
93,12,6,3,1,0,0,5,Shoes/Flats/Vigotti/7687408.283486.jpg
94,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Salomon/7982222.396477.jpg
95,11,5,2,1,0,0,2,Shoes/Heels/Kate Spade New York/7745492.285930.jpg
96,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Chaco Kids/7980535.35888.jpg
97,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Bloch Kids/7708481.3.jpg
98,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/adidas Outdoor/7983901.358492.jpg
99,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/PUMA/8058601.382726.jpg
100,11,5,2,1,0,0,2,Shoes/Heels/Giuseppe Zanotti/8080632.392753.jpg
101,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Polo Ralph Lauren Kids/7748652.43774.jpg
102,15,7,3,1,0,0,7,Boots/Knee High/Giuseppe Zanotti/8025522.158.jpg
103,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Puma Kids/8020141.369893.jpg
104,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/PUMA/7903932.330891.jpg
105,11,5,2,1,0,0,2,Shoes/Heels/Cole Haan/7879695.331525.jpg
106,0,0,0,0,0,0,8,Shoes/Oxfords/BOSS Black/8090830.3.jpg
107,17,8,4,2,1,0,3,Sandals/Flat/LAUREN Ralph Lauren/8072071.389501.jpg
108,11,5,2,1,0,0,2,Shoes/Heels/Jambu/7993444.405.jpg
109,11,5,2,1,0,0,2,Shoes/Heels/Fitzwell/7943620.2986.jpg
110,8,4,2,1,0,0,6,Shoes/Loafers/Hush Puppies/7904289.665.jpg
111,11,5,2,1,0,0,2,Shoes/Heels/Rockport/7996778.3.jpg
112,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/PUMA/7903784.330803.jpg
113,11,5,2,1,0,0,2,Shoes/Heels/MICHAEL Michael Kors/8115498.89.jpg
114,17,8,4,2,1,0,3,Sandals/Flat/Kork-Ease/7728307.59083.jpg
115,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Reebok/8072009.389447.jpg
116,17,8,4,2,1,0,3,Sandals/Flat/Nine West/8113354.328.jpg
117,8,4,2,1,0,0,6,Shoes/Loafers/Think!/8007485.3.jpg
118,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike/8064694.385402.jpg
119,11,5,2,1,0,0,2,Shoes/Heels/Madden Girl/8120038.9450.jpg
120,10,5,2,1,0,0,4,Boots/Mid-Calf/UGG Kids/7633182.18914.jpg
121,10,5,2,1,0,0,4,Boots/Mid-Calf/Old West Kids Boots/7839792.308192.jpg
122,12,6,3,1,0,0,5,Shoes/Flats/Bandolino/8090612.3298.jpg
123,8,4,2,1,0,0,6,Shoes/Loafers/Aetrex/7843718.1915.jpg
124,11,5,2,1,0,0,2,Shoes/Heels/Ivanka Trump/8093414.408241.jpg
125,3,1,0,0,0,0,1,Boots/Ankle/Big Buddha/8047085.43863.jpg
126,15,7,3,1,0,0,7,Boots/Knee High/La Canadienne/7667930.106.jpg
127,12,6,3,1,0,0,5,Shoes/Flats/Umi Kids/7993929.552.jpg
128,20,10,5,2,1,0,12,Shoes/Firstwalker/Kenneth Cole Reaction Kids/7994576.552.jpg
129,10,5,2,1,0,0,4,Boots/Mid-Calf/Hatley Kids/7420865.33617.jpg
130,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Alexander McQueen/7991357.958.jpg
131,10,5,2,1,0,0,4,Boots/Mid-Calf/Eric Michael/8020581.20.jpg
132,4,2,1,0,0,0,11,Shoes/Boat Shoes/Sperry Top-Sider/7212450.380197.jpg
133,14,7,3,1,0,0,9,Shoes/Clogs and Mules/Softspots/8110601.19.jpg
134,3,1,0,0,0,0,1,Boots/Ankle/La Sportiva/7604279.2906.jpg
135,0,0,0,0,0,0,8,Shoes/Oxfords/Bass/7505581.4082.jpg
136,11,5,2,1,0,0,2,Shoes/Heels/Vigotti/7736398.5360.jpg
137,11,5,2,1,0,0,2,Shoes/Heels/Camper/7992087.3.jpg
138,0,0,0,0,0,0,8,Shoes/Oxfords/Mephisto/7218223.50.jpg
139,12,6,3,1,0,0,5,Shoes/Flats/Nina Kids/7752617.276471.jpg
140,5,2,1,0,0,0,10,Slippers/Slipper Flats/Foamtreads Kids/7157869.559.jpg
141,12,6,3,1,0,0,5,Shoes/Flats/MICHAEL Michael Kors Kids/8042231.552.jpg
142,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Under Armour/8047008.151.jpg
143,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/New Balance/7929054.3.jpg
144,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/adidas Running/7629794.320781.jpg
145,10,5,2,1,0,0,4,Boots/Mid-Calf/Lassen/7720037.307.jpg
146,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/New Balance Classics/7373683.322466.jpg
147,0,0,0,0,0,0,8,Shoes/Oxfords/Keen/7804816.109876.jpg
148,14,7,3,1,0,0,9,Shoes/Clogs and Mules/UGG Kids/7862910.278.jpg
149,14,7,3,1,0,0,9,Shoes/Clogs and Mules/Crocs/7818347.68277.jpg
150,3,1,0,0,0,0,1,Boots/Ankle/Ariat/8007962.813.jpg
151,10,5,2,1,0,0,4,Boots/Mid-Calf/OluKai/7978226.273286.jpg
152,17,8,4,2,1,0,3,Sandals/Flat/Teva/7873811.20.jpg
153,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Osiris/7645080.150239.jpg
154,11,5,2,1,0,0,2,Shoes/Heels/Stuart Weitzman/8063793.238567.jpg
155,12,6,3,1,0,0,5,Shoes/Flats/Garvalin Kids/8008370.147.jpg
156,15,7,3,1,0,0,7,Boots/Knee High/Fitzwell/7819094.249356.jpg
157,11,5,2,1,0,0,2,Shoes/Heels/Stuart Weitzman Bridal & Evening Collection/7999204.217129.jpg
158,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/New Balance/7988740.19673.jpg
159,15,7,3,1,0,0,7,Boots/Knee High/Frye/8003478.248963.jpg
160,17,8,4,2,1,0,3,Sandals/Flat/Reef/7606684.373787.jpg
161,3,1,0,0,0,0,1,Boots/Ankle/Dr. Martens/8004438.365193.jpg
162,12,6,3,1,0,0,5,Shoes/Flats/Propet/8019743.10859.jpg
163,3,1,0,0,0,0,1,Boots/Ankle/David Tate/7436522.60.jpg
164,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SLVR/8030011.183092.jpg
165,10,5,2,1,0,0,4,Boots/Mid-Calf/Frye/7559842.68022.jpg
166,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/7394038.3.jpg
167,1,0,0,0,0,0,13,Shoes/Prewalker/pediped/7820255.632.jpg
168,3,1,0,0,0,0,1,Boots/Ankle/Lowa/7606195.223495.jpg
169,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS KIDS/8097759.80.jpg
170,0,0,0,0,0,0,8,Shoes/Oxfords/Mephisto/8015458.368139.jpg
171,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Columbia/7956904.347826.jpg
172,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/ASICS/7984046.358616.jpg
173,11,5,2,1,0,0,2,Shoes/Heels/Corso Como/7925846.19533.jpg
174,8,4,2,1,0,0,6,Shoes/Loafers/NO SOX/8038242.401.jpg
175,4,2,1,0,0,0,11,Shoes/Boat Shoes/Sperry Top-Sider/7798495.500.jpg
176,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Salomon/7901787.330248.jpg
177,10,5,2,1,0,0,4,Boots/Mid-Calf/The North Face/7784987.363707.jpg
178,17,8,4,2,1,0,3,Sandals/Flat/KORS Michael Kors/7646718.276017.jpg
179,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike/7790007.353196.jpg
180,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Hi-Tec/7988678.360035.jpg
181,3,1,0,0,0,0,1,Boots/Ankle/Frye/7416773.301588.jpg
182,8,4,2,1,0,0,6,Shoes/Loafers/Clarks/7995632.18724.jpg
183,8,4,2,1,0,0,6,Shoes/Loafers/Franco Sarto/8045146.377587.jpg
184,17,8,4,2,1,0,3,Sandals/Flat/Gentle Souls/7785321.184651.jpg
185,17,8,4,2,1,0,3,Sandals/Flat/Reef/7557470.39688.jpg
186,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/8081986.1151.jpg
187,5,2,1,0,0,0,10,Slippers/Slipper Flats/L.B. Evans/7845014.677.jpg
188,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Brooks/7965716.350967.jpg
189,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/K-Swiss/8023428.371005.jpg
190,10,5,2,1,0,0,4,Boots/Mid-Calf/Kenneth Cole Reaction/8055298.3.jpg
191,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike Kids/7969887.369174.jpg
192,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Tsukihoshi Kids/7842991.166096.jpg
193,10,5,2,1,0,0,4,Boots/Mid-Calf/Crocs/7986551.5915.jpg
194,3,1,0,0,0,0,1,Boots/Ankle/Ipath/7987721.332241.jpg
195,17,8,4,2,1,0,3,Sandals/Flat/Keen/7209690.3.jpg
196,3,1,0,0,0,0,1,Boots/Ankle/Merrell/7987162.46658.jpg
197,10,5,2,1,0,0,4,Boots/Mid-Calf/Yellow Box/8038838.3.jpg
198,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Lacoste/8050154.143.jpg
199,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Ahnu/7979014.76119.jpg
200,10,5,2,1,0,0,4,Boots/Mid-Calf/UGG Kids/7972781.165731.jpg
201,17,8,4,2,1,0,3,Sandals/Flat/Burberry/7980145.189.jpg
202,17,8,4,2,1,0,3,Sandals/Flat/OluKai/7911915.44016.jpg
203,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/7673191.1909.jpg
204,3,1,0,0,0,0,1,Boots/Ankle/Enzo Angiolini/8081421.106.jpg
205,11,5,2,1,0,0,2,Shoes/Heels/Badgley Mischka/7845939.1402.jpg
206,10,5,2,1,0,0,4,Boots/Mid-Calf/Keen Utility/7822560.3.jpg
207,3,1,0,0,0,0,1,Boots/Ankle/Loeffler Randall/8005189.580.jpg
208,3,1,0,0,0,0,1,Boots/Ankle/Rockport/7996682.284.jpg
209,10,5,2,1,0,0,4,Boots/Mid-Calf/Frye/8003486.263301.jpg
210,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS Work/7568132.112557.jpg
211,10,5,2,1,0,0,4,Boots/Mid-Calf/Dr. Martens/8004397.398343.jpg
212,4,2,1,0,0,0,11,Shoes/Boat Shoes/Sperry Top-Sider/8051982.3412.jpg
213,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Osiris/7415747.373270.jpg
214,3,1,0,0,0,0,1,Boots/Ankle/Tommy Hilfiger/8122111.401.jpg
215,12,6,3,1,0,0,5,Shoes/Flats/Alexander McQueen/8024797.3.jpg
216,8,4,2,1,0,0,6,Shoes/Loafers/Donald J Pliner/7772301.106.jpg
217,10,5,2,1,0,0,4,Boots/Mid-Calf/Martino/8071366.5319.jpg
218,15,7,3,1,0,0,7,Boots/Knee High/Lucky Brand/8048193.859.jpg
219,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/New Balance/7993076.3.jpg
220,10,5,2,1,0,0,4,Boots/Mid-Calf/EMU Australia Kids/7742661.329564.jpg
221,0,0,0,0,0,0,8,Shoes/Oxfords/Fratelli/7251101.18.jpg
222,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Stride Rite/8080834.182785.jpg
223,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Salvatore Ferragamo/8057237.49836.jpg
224,11,5,2,1,0,0,2,Shoes/Heels/Jessica Simpson/8082347.89.jpg
225,11,5,2,1,0,0,2,Shoes/Heels/Calvin Klein/8116572.404612.jpg
226,0,0,0,0,0,0,8,Shoes/Oxfords/Elephantito/8009110.18.jpg
227,3,1,0,0,0,0,1,Boots/Ankle/Primigi Kids/8030668.3.jpg
228,3,1,0,0,0,0,1,Boots/Ankle/John Varvatos/8077313.126124.jpg
229,17,8,4,2,1,0,3,Sandals/Flat/Grazie/8048647.632.jpg
230,10,5,2,1,0,0,4,Boots/Mid-Calf/Superfit/7827424.365357.jpg
231,3,1,0,0,0,0,1,Boots/Ankle/Nine West/8076551.328.jpg
232,8,4,2,1,0,0,6,Shoes/Loafers/Mephisto/7836613.390144.jpg
233,3,1,0,0,0,0,1,Boots/Ankle/GUESS Kids'/8011288.1148.jpg
234,10,5,2,1,0,0,4,Boots/Mid-Calf/Primigi Kids/8024419.3.jpg
235,5,2,1,0,0,0,10,Slippers/Slipper Flats/UGG Kids/8032551.9418.jpg
236,5,2,1,0,0,0,10,Slippers/Slipper Flats/Sorel Kids/7551926.331397.jpg
237,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Roxy/8089927.20.jpg
238,12,6,3,1,0,0,5,Shoes/Flats/LAUREN Ralph Lauren/8055291.381320.jpg
239,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/ASICS/7976571.355763.jpg
240,3,1,0,0,0,0,1,Boots/Ankle/Lugz/8003873.364992.jpg
241,17,8,4,2,1,0,3,Sandals/Flat/Birkenstock/7502010.9926.jpg
242,12,6,3,1,0,0,5,Shoes/Flats/Merrell/8075498.3.jpg
243,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Patagonia/7631896.358106.jpg
244,8,4,2,1,0,0,6,Shoes/Loafers/Bogs/8003149.307.jpg
245,11,5,2,1,0,0,2,Shoes/Heels/Michael Antonio/8131321.409135.jpg
246,3,1,0,0,0,0,1,Boots/Ankle/GUESS/8026817.12756.jpg
247,11,5,2,1,0,0,2,Shoes/Heels/ara/7697197.375499.jpg
248,17,8,4,2,1,0,3,Sandals/Flat/Cobian/7942126.3.jpg
249,10,5,2,1,0,0,4,Boots/Mid-Calf/Flojos Kids/8024023.278.jpg
250,10,5,2,1,0,0,4,Boots/Mid-Calf/Lucchese/8098757.398684.jpg
251,17,8,4,2,1,0,3,Sandals/Flat/Stuart Weitzman/7612153.89.jpg
252,10,5,2,1,0,0,4,Boots/Mid-Calf/Primigi Kids/8024492.3.jpg
253,8,4,2,1,0,0,6,Shoes/Loafers/Giuseppe Zanotti/7964921.3.jpg
254,11,5,2,1,0,0,2,Shoes/Heels/LAUREN Ralph Lauren/7406098.3399.jpg
255,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Puma Kids/8056615.382125.jpg
256,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Keen/7977240.355936.jpg
257,17,8,4,2,1,0,3,Sandals/Flat/Havaianas/7540505.145508.jpg
258,8,4,2,1,0,0,6,Shoes/Loafers/Dockers/7849817.311102.jpg
259,6,3,1,0,0,0,14,Sandals/Heel/Kork-Ease/7615767.13456.jpg
260,12,6,3,1,0,0,5,Shoes/Flats/Nine West/8053831.52294.jpg
261,10,5,2,1,0,0,4,Boots/Mid-Calf/EMU Australia Kids/7599195.574.jpg
262,15,7,3,1,0,0,7,Boots/Knee High/Dr. Martens/8004434.168593.jpg
263,17,8,4,2,1,0,3,Sandals/Flat/Donald J Pliner/8114625.552.jpg
264,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike Kids/7926825.338215.jpg
265,15,7,3,1,0,0,7,Boots/Knee High/Frye/7970322.352789.jpg
266,17,8,4,2,1,0,3,Sandals/Flat/Missoni/8035429.521.jpg
267,0,0,0,0,0,0,8,Shoes/Oxfords/ECCO/7582583.4769.jpg
268,17,8,4,2,1,0,3,Sandals/Flat/Dolce Vita/8083404.3.jpg
269,12,6,3,1,0,0,5,Shoes/Flats/Blowfish/8126674.388429.jpg
270,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/New Balance/8138175.144.jpg
271,17,8,4,2,1,0,3,Sandals/Flat/Bottega Veneta/7953244.346509.jpg
272,8,4,2,1,0,0,6,Shoes/Loafers/Camper Kids/7988374.401.jpg
273,3,1,0,0,0,0,1,Boots/Ankle/Wolky/8024859.116867.jpg
274,10,5,2,1,0,0,4,Boots/Mid-Calf/Pampili/8030821.3.jpg
275,4,2,1,0,0,0,11,Shoes/Boat Shoes/Sperry Top-Sider/7297622.352714.jpg
276,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/8090515.2557.jpg
277,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Brooks/8057109.382250.jpg
278,11,5,2,1,0,0,2,Shoes/Heels/Calvin Klein/7479540.372905.jpg
279,11,5,2,1,0,0,2,Shoes/Heels/Bella-Vita/7393857.71.jpg
280,17,8,4,2,1,0,3,Sandals/Flat/Dansko/7894523.89.jpg
281,8,4,2,1,0,0,6,Shoes/Loafers/Stacy Adams/8103386.399855.jpg
282,17,8,4,2,1,0,3,Sandals/Flat/Stuart Weitzman Kids/8086029.1907.jpg
283,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Keen Kids/7801160.294584.jpg
284,3,1,0,0,0,0,1,Boots/Ankle/GUESS/8026817.106.jpg
285,3,1,0,0,0,0,1,Boots/Ankle/Palladium/7867338.3.jpg
286,12,6,3,1,0,0,5,Shoes/Flats/MICHAEL Michael Kors/7980088.351432.jpg
287,10,5,2,1,0,0,4,Boots/Mid-Calf/UGG Kids/8032668.3.jpg
288,8,4,2,1,0,0,6,Shoes/Loafers/Aetrex/7843718.310587.jpg
289,14,7,3,1,0,0,9,Shoes/Clogs and Mules/Easy Spirit/8042524.325.jpg
290,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike Golf/8063553.384742.jpg
291,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Converse/7155963.66263.jpg
292,3,1,0,0,0,0,1,Boots/Ankle/The North Face/7784991.109556.jpg
293,0,0,0,0,0,0,8,Shoes/Oxfords/Kenneth Cole New York/8022000.6.jpg
294,16,8,4,2,1,0,17,Slippers/Boot/Old Friend/7575257.20.jpg
295,0,0,0,0,0,0,8,Shoes/Oxfords/Mephisto/8019811.324939.jpg
296,12,6,3,1,0,0,5,Shoes/Flats/Mephisto/8019794.390118.jpg
297,5,2,1,0,0,0,10,Slippers/Slipper Flats/Orthaheel/7784869.370630.jpg
298,5,2,1,0,0,0,10,Slippers/Slipper Flats/Woolrich/8029295.470.jpg
299,12,6,3,1,0,0,5,Shoes/Flats/FootMates/8030519.9.jpg
