,label_gran_14,label_gran_13,label_gran_12,label_gran_11,label_gran_10,label_gran_9,label_gran_8,label_gran_7,label_gran_6,label_gran_5,label_gran_4,label_gran_3,label_gran_2,label_gran_1,label_gran_0,class,path
22,4836,2418,1209,604,302,151,75,37,18,9,4,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Mephisto/8073849.33340.jpg
23,9719,4859,2430,1215,607,303,152,76,38,19,9,5,3,2,1,1,Boots/Ankle/SKECHERS/7208970.1232.jpg
24,16561,8281,4141,2071,1036,518,259,130,66,33,17,9,5,3,2,2,Shoes/Heels/Rebecca Minkoff/8068489.387403.jpg
25,2683,1341,670,335,167,83,41,20,10,5,2,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Element/7592168.188267.jpg
26,13763,6882,3441,1721,861,431,216,109,55,28,14,8,5,3,2,2,Shoes/Heels/Madden Girl/7946245.89.jpg
27,285,142,71,35,17,8,4,2,1,0,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Nike/7971586.288853.jpg
28,13943,6972,3486,1743,872,436,218,110,56,28,14,8,5,3,2,2,Shoes/Heels/Clarks/8078793.72.jpg
29,5535,2767,1383,691,345,172,86,43,21,10,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/7555060.6.jpg
30,5357,2678,1339,669,334,167,83,41,20,10,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Circa/7420528.292889.jpg
31,14858,7429,3715,1858,929,465,233,117,59,30,15,8,5,3,2,2,Shoes/Heels/Lilly Pulitzer/8023083.199663.jpg
32,23868,11935,5968,2985,1494,747,374,188,95,48,24,13,7,5,4,4,Boots/Mid-Calf/Fergie/8028780.3.jpg
33,32108,16057,8030,4017,2011,1007,506,255,129,66,35,19,12,10,9,9,Shoes/Clogs and Mules/Wolky/7849440.330593.jpg
34,30240,15122,7562,3783,1894,948,476,239,121,62,32,17,10,8,7,7,Boots/Knee High/Fitzwell/8024147.60.jpg
35,26698,13350,6675,3339,1671,836,419,211,107,54,28,15,8,6,5,5,Shoes/Flats/Nina Kids/8016211.128268.jpg
36,9932,4966,2483,1242,621,310,155,78,39,19,9,5,3,2,1,1,Boots/Ankle/UGG/8041795.42313.jpg
37,16612,8306,4153,2077,1039,520,260,131,66,33,17,9,5,3,2,2,Shoes/Heels/Truth or Dare By Madonna/8129494.408557.jpg
38,21522,10762,5381,2692,1347,674,338,170,86,43,22,12,7,5,4,4,Boots/Mid-Calf/Dr. Martens/108237.1670.jpg
39,17219,8610,4305,2153,1077,539,270,136,69,35,18,10,6,4,3,3,Sandals/Flat/Softspots/7517582.728.jpg
40,34998,17504,8754,4381,2196,1102,555,282,145,76,43,27,20,18,17,17,Slippers/Boot/Baffin/7486138.9.jpg
41,28580,14292,7147,3575,1789,895,449,226,114,58,30,16,9,7,6,6,Shoes/Loafers/Bass/8046244.38872.jpg
42,10854,5427,2714,1357,678,339,170,85,43,21,10,5,3,2,1,1,Boots/Ankle/Frye/7154095.236045.jpg
43,2612,1306,653,326,163,81,40,20,10,5,2,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Reebok/8071496.2125.jpg
44,12604,6302,3151,1576,788,394,197,99,50,25,12,6,3,2,1,1,Boots/Ankle/adidas Outdoor/7983350.358221.jpg
45,14795,7398,3699,1850,925,463,232,117,59,30,15,8,5,3,2,2,Shoes/Heels/Cole Haan/7879695.208905.jpg
46,27502,13753,6877,3440,1722,861,432,217,110,56,29,16,9,7,6,6,Shoes/Loafers/Bass/8028851.372739.jpg
47,18163,9082,4541,2271,1136,568,284,143,72,36,18,10,6,4,3,3,Sandals/Flat/Rieker/7775875.585.jpg
48,6693,3346,1673,836,418,209,104,52,26,13,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Stride Rite/7896847.359.jpg
49,27742,13873,6937,3470,1737,869,436,219,111,57,29,16,9,7,6,6,Shoes/Loafers/SKECHERS/7898479.14.jpg
50,10788,5394,2697,1349,674,337,169,85,43,21,10,5,3,2,1,1,Boots/Ankle/Scarpa/7742150.401.jpg
51,14250,7125,3563,1782,891,446,223,112,57,29,15,8,5,3,2,2,Shoes/Heels/Nine West/7798031.372438.jpg
52,29391,14698,7350,3677,1841,921,462,232,117,60,31,17,10,8,7,7,Boots/Knee High/Annie/8016034.7294.jpg
53,13759,6880,3440,1720,860,430,215,108,55,28,14,8,5,3,2,2,Shoes/Heels/Type Z/8014058.29818.jpg
54,1374,687,343,171,85,42,21,10,5,2,1,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Merrell/7813012.1681.jpg
55,783,391,195,97,48,24,12,6,3,1,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/adidas/7976296.355644.jpg
56,22762,11382,5691,2847,1425,713,357,180,91,46,23,12,7,5,4,4,Boots/Mid-Calf/Calvin Klein/8035140.20847.jpg
57,20493,10247,5124,2563,1282,641,321,162,82,41,21,11,6,4,3,3,Sandals/Flat/Volcom/7903807.91914.jpg
58,25072,12537,6269,3136,1569,785,394,198,100,51,26,14,8,6,5,5,Shoes/Flats/Morgan&Milo Kids/7945515.585.jpg
59,6059,3029,1514,757,378,189,94,47,23,11,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/adidas Originals Kids/7763946.371522.jpg
60,3549,1774,887,443,221,110,55,27,13,6,3,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Globe/7559627.359577.jpg
61,29360,14682,7342,3673,1839,920,462,232,117,60,31,17,10,8,7,7,Boots/Knee High/Cole Haan/8000921.106.jpg
62,30834,15420,7711,3857,1931,967,485,244,123,63,33,18,11,9,8,8,Shoes/Oxfords/Dr. Martens/7348547.31237.jpg
63,46,23,11,5,2,1,0,0,0,0,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Vans/7579608.384912.jpg
64,22243,11123,5562,2782,1392,696,349,176,89,45,23,12,7,5,4,4,Boots/Mid-Calf/Columbia/7796329.156516.jpg
65,7468,3734,1867,933,466,233,116,58,29,14,7,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/ASICS/7976630.355800.jpg
66,883,441,220,110,55,27,13,6,3,1,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Vans Kids/7241786.389242.jpg
67,25725,12864,6432,3217,1610,805,404,203,103,52,27,14,8,6,5,5,Shoes/Flats/ECCO/7770591.299069.jpg
68,17721,8861,4431,2216,1109,555,278,140,71,36,18,10,6,4,3,3,Sandals/Flat/Havaianas Kids/7821698.3.jpg
69,8521,4260,2130,1065,532,266,133,66,33,16,8,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/8065327.7102.jpg
70,23910,11956,5978,2990,1496,748,375,189,96,48,24,13,7,5,4,4,Boots/Mid-Calf/Naturino/7810029.3.jpg
71,1071,535,267,133,66,33,16,8,4,2,1,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Tsukihoshi Kids/7334943.3098.jpg
72,26728,13365,6683,3343,1673,837,420,211,107,54,28,15,8,6,5,5,Shoes/Flats/Keds Kids/8014517.552.jpg
73,17884,8943,4472,2237,1119,560,280,141,71,36,18,10,6,4,3,3,Sandals/Flat/Salvatore Ferragamo/7902689.5291.jpg
74,15037,7519,3760,1880,940,470,235,118,60,30,15,8,5,3,2,2,Shoes/Heels/Betsey Johnson/7979260.687.jpg
75,32326,16166,8084,4044,2025,1014,509,256,129,66,35,19,12,10,9,9,Shoes/Clogs and Mules/Fly Flot/7781597.11.jpg
76,18798,9400,4700,2351,1176,588,294,148,75,38,19,10,6,4,3,3,Sandals/Flat/Kenneth Cole Reaction Kids/7896290.30544.jpg
77,16288,8144,4072,2036,1018,509,255,128,65,33,17,9,5,3,2,2,Shoes/Heels/Stuart Weitzman/7999491.106.jpg
78,2034,1017,508,254,127,63,31,15,7,3,1,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Vibram FiveFingers/8146855.312577.jpg
79,10203,5101,2551,1276,638,319,160,80,40,20,10,5,3,2,1,1,Boots/Ankle/Steve Madden/8098778.691.jpg
80,20543,10272,5136,2569,1285,643,322,162,82,41,21,11,6,4,3,3,Sandals/Flat/Sbicca/8023081.1430.jpg
81,18738,9370,4685,2343,1172,586,293,148,75,38,19,10,6,4,3,3,Sandals/Flat/Naughty Monkey/8112749.3.jpg
82,7864,3932,1966,983,491,245,122,61,30,15,7,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Nurse Mates/7134688.3.jpg
83,8858,4429,2214,1107,553,276,138,69,34,17,8,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Bikkembergs/8032240.158.jpg
84,9714,4857,2429,1215,607,303,152,76,38,19,9,5,3,2,1,1,Boots/Ankle/ECCO/7814799.345607.jpg
85,18219,9110,4555,2278,1140,570,285,144,73,37,19,10,6,4,3,3,Sandals/Flat/Ocean Minded/7217911.16158.jpg
86,6764,3382,1691,845,422,211,105,52,26,13,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Saucony/7882335.11319.jpg
87,6416,3208,1604,802,401,200,100,50,25,12,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Saucony/7882118.30129.jpg
88,8463,4231,2115,1057,528,264,132,66,33,16,8,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Lacoste/8082870.3.jpg
89,22195,11099,5550,2776,1389,695,348,175,89,45,23,12,7,5,4,4,Boots/Mid-Calf/MIA Limited Edition/8039030.652.jpg
90,1824,912,456,228,114,57,28,14,7,3,1,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/BOSS Orange/8053193.2295.jpg
91,17717,8859,4430,2216,1109,555,278,140,71,36,18,10,6,4,3,3,Sandals/Flat/ECCO/7889421.3.jpg
92,34973,17491,8747,4377,2193,1100,553,280,143,74,41,25,18,16,15,15,Boots/Over the Knee/Geox/8004736.278.jpg
93,24944,12473,6237,3120,1561,781,392,197,100,51,26,14,8,6,5,5,Shoes/Flats/Vigotti/7687408.283486.jpg
94,3465,1732,866,433,216,108,54,27,13,6,3,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Salomon/7982222.396477.jpg
95,14809,7405,3703,1852,926,463,232,117,59,30,15,8,5,3,2,2,Shoes/Heels/Kate Spade New York/7745492.285930.jpg
96,1786,893,446,223,111,55,27,13,6,3,1,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Chaco Kids/7980535.35888.jpg
97,1726,863,431,215,107,53,26,13,6,3,1,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Bloch Kids/7708481.3.jpg
98,162,81,40,20,10,5,2,1,0,0,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/adidas Outdoor/7983901.358492.jpg
99,2915,1457,728,364,182,91,45,22,11,5,2,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/PUMA/8058601.382726.jpg
100,13760,6880,3440,1720,860,430,215,108,55,28,14,8,5,3,2,2,Shoes/Heels/Giuseppe Zanotti/8080632.392753.jpg
101,7987,3993,1996,998,499,249,124,62,31,15,7,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Polo Ralph Lauren Kids/7748652.43774.jpg
102,30262,15133,7567,3785,1895,948,476,239,121,62,32,17,10,8,7,7,Boots/Knee High/Giuseppe Zanotti/8025522.158.jpg
103,3569,1784,892,446,223,111,55,27,13,6,3,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Puma Kids/8020141.369893.jpg
104,4677,2338,1169,584,292,146,73,36,18,9,4,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/PUMA/7903932.330891.jpg
105,13812,6906,3453,1727,864,432,216,109,55,28,14,8,5,3,2,2,Shoes/Heels/Cole Haan/7879695.331525.jpg
106,30833,15419,7710,3857,1931,967,485,244,123,63,33,18,11,9,8,8,Shoes/Oxfords/BOSS Black/8090830.3.jpg
107,18965,9483,4742,2372,1187,594,297,150,76,38,19,10,6,4,3,3,Sandals/Flat/LAUREN Ralph Lauren/8072071.389501.jpg
108,15696,7848,3924,1962,981,491,246,124,63,32,16,9,5,3,2,2,Shoes/Heels/Jambu/7993444.405.jpg
109,14084,7042,3521,1761,881,441,221,111,56,28,14,8,5,3,2,2,Shoes/Heels/Fitzwell/7943620.2986.jpg
110,28614,14309,7155,3579,1791,896,450,226,114,58,30,16,9,7,6,6,Shoes/Loafers/Hush Puppies/7904289.665.jpg
111,15055,7528,3764,1882,941,471,236,119,60,30,15,8,5,3,2,2,Shoes/Heels/Rockport/7996778.3.jpg
112,133,66,33,16,8,4,2,1,0,0,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/PUMA/7903784.330803.jpg
113,15439,7720,3860,1930,965,483,242,122,62,31,16,9,5,3,2,2,Shoes/Heels/MICHAEL Michael Kors/8115498.89.jpg
114,20232,10117,5059,2530,1266,633,317,160,81,41,21,11,6,4,3,3,Sandals/Flat/Kork-Ease/7728307.59083.jpg
115,733,366,183,91,45,22,11,5,2,1,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Reebok/8072009.389447.jpg
116,18752,9377,4689,2345,1173,587,294,148,75,38,19,10,6,4,3,3,Sandals/Flat/Nine West/8113354.328.jpg
117,27589,13796,6899,3451,1727,864,434,218,110,56,29,16,9,7,6,6,Shoes/Loafers/Think!/8007485.3.jpg
118,6181,3090,1545,772,386,193,96,48,24,12,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Nike/8064694.385402.jpg
119,14930,7465,3733,1867,934,467,234,118,60,30,15,8,5,3,2,2,Shoes/Heels/Madden Girl/8120038.9450.jpg
120,21641,10822,5411,2707,1355,678,340,171,87,44,22,12,7,5,4,4,Boots/Mid-Calf/UGG Kids/7633182.18914.jpg
121,21153,10578,5289,2646,1324,662,332,167,85,43,22,12,7,5,4,4,Boots/Mid-Calf/Old West Kids Boots/7839792.308192.jpg
122,25562,12782,6391,3197,1600,800,401,202,102,52,27,14,8,6,5,5,Shoes/Flats/Bandolino/8090612.3298.jpg
123,27465,13734,6868,3436,1720,860,432,217,110,56,29,16,9,7,6,6,Shoes/Loafers/Aetrex/7843718.1915.jpg
124,16395,8198,4099,2050,1025,513,257,129,65,33,17,9,5,3,2,2,Shoes/Heels/Ivanka Trump/8093414.408241.jpg
125,10486,5243,2622,1311,655,327,164,82,41,20,10,5,3,2,1,1,Boots/Ankle/Big Buddha/8047085.43863.jpg
126,29290,14647,7324,3664,1834,918,461,232,117,60,31,17,10,8,7,7,Boots/Knee High/La Canadienne/7667930.106.jpg
127,25305,12654,6327,3165,1584,792,397,200,101,51,26,14,8,6,5,5,Shoes/Flats/Umi Kids/7993929.552.jpg
128,34571,17289,8646,4326,2166,1085,545,275,139,71,38,22,15,13,12,12,Shoes/Firstwalker/Kenneth Cole Reaction Kids/7994576.552.jpg
129,22363,11183,5592,2797,1400,700,351,177,90,45,23,12,7,5,4,4,Boots/Mid-Calf/Hatley Kids/7420865.33617.jpg
130,6598,3299,1649,824,412,206,103,51,25,12,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Alexander McQueen/7991357.958.jpg
131,23653,11828,5914,2958,1480,740,371,187,95,48,24,13,7,5,4,4,Boots/Mid-Calf/Eric Michael/8020581.20.jpg
132,33993,17000,8502,4254,2130,1067,536,270,137,70,37,21,14,12,11,11,Shoes/Boat Shoes/Sperry Top-Sider/7212450.380197.jpg
133,32632,16319,8161,4083,2044,1024,514,259,131,67,35,19,12,10,9,9,Shoes/Clogs and Mules/Softspots/8110601.19.jpg
134,12269,6134,3067,1534,767,383,192,96,48,24,12,6,3,2,1,1,Boots/Ankle/La Sportiva/7604279.2906.jpg
135,31694,15850,7926,3965,1985,994,499,251,127,65,34,18,11,9,8,8,Shoes/Oxfords/Bass/7505581.4082.jpg
136,13491,6746,3373,1687,844,422,211,106,54,27,14,8,5,3,2,2,Shoes/Heels/Vigotti/7736398.5360.jpg
137,14144,7072,3536,1768,884,442,221,111,56,28,14,8,5,3,2,2,Shoes/Heels/Camper/7992087.3.jpg
138,30791,15398,7700,3852,1928,965,484,243,123,63,33,18,11,9,8,8,Shoes/Oxfords/Mephisto/7218223.50.jpg
139,26763,13383,6692,3347,1675,838,420,211,107,54,28,15,8,6,5,5,Shoes/Flats/Nina Kids/7752617.276471.jpg
140,33256,16632,8317,4161,2083,1044,524,264,133,68,36,20,13,11,10,10,Slippers/Slipper Flats/Foamtreads Kids/7157869.559.jpg
141,26055,13029,6515,3259,1631,816,409,206,104,53,27,14,8,6,5,5,Shoes/Flats/MICHAEL Michael Kors Kids/8042231.552.jpg
142,970,485,242,121,60,30,15,7,3,1,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Under Armour/8047008.151.jpg
143,7078,3539,1769,884,442,221,110,55,27,13,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/New Balance/7929054.3.jpg
144,699,349,174,87,43,21,10,5,2,1,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/adidas Running/7629794.320781.jpg
145,22206,11104,5552,2777,1390,695,348,175,89,45,23,12,7,5,4,4,Boots/Mid-Calf/Lassen/7720037.307.jpg
146,4520,2260,1130,565,282,141,70,35,17,8,4,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/New Balance Classics/7373683.322466.jpg
147,30750,15378,7690,3847,1926,964,484,243,123,63,33,18,11,9,8,8,Shoes/Oxfords/Keen/7804816.109876.jpg
148,32710,16358,8180,4092,2049,1026,515,259,131,67,35,19,12,10,9,9,Shoes/Clogs and Mules/UGG Kids/7862910.278.jpg
149,32272,16139,8071,4038,2022,1013,509,256,129,66,35,19,12,10,9,9,Shoes/Clogs and Mules/Crocs/7818347.68277.jpg
150,10802,5401,2701,1351,675,337,169,85,43,21,10,5,3,2,1,1,Boots/Ankle/Ariat/8007962.813.jpg
151,21837,10920,5460,2731,1367,684,343,173,88,44,22,12,7,5,4,4,Boots/Mid-Calf/OluKai/7978226.273286.jpg
152,17718,8860,4430,2216,1109,555,278,140,71,36,18,10,6,4,3,3,Sandals/Flat/Teva/7873811.20.jpg
153,5762,2881,1440,720,360,180,90,45,22,11,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Osiris/7645080.150239.jpg
154,16875,8438,4219,2110,1055,528,264,133,67,34,17,9,5,3,2,2,Shoes/Heels/Stuart Weitzman/8063793.238567.jpg
155,24444,12223,6112,3057,1530,765,384,193,98,50,26,14,8,6,5,5,Shoes/Flats/Garvalin Kids/8008370.147.jpg
156,29323,14664,7333,3668,1836,919,461,232,117,60,31,17,10,8,7,7,Boots/Knee High/Fitzwell/7819094.249356.jpg
157,16913,8457,4229,2115,1058,529,265,133,67,34,17,9,5,3,2,2,Shoes/Heels/Stuart Weitzman Bridal & Evening Collection/7999204.217129.jpg
158,5832,2916,1458,729,364,182,91,45,22,11,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/New Balance/7988740.19673.jpg
159,29970,14987,7494,3749,1877,939,471,237,120,61,31,17,10,8,7,7,Boots/Knee High/Frye/8003478.248963.jpg
160,17767,8884,4442,2222,1112,556,278,140,71,36,18,10,6,4,3,3,Sandals/Flat/Reef/7606684.373787.jpg
161,9715,4857,2429,1215,607,303,152,76,38,19,9,5,3,2,1,1,Boots/Ankle/Dr. Martens/8004438.365193.jpg
162,24412,12207,6104,3053,1528,764,383,193,98,50,26,14,8,6,5,5,Shoes/Flats/Propet/8019743.10859.jpg
163,9775,4887,2444,1222,611,305,153,77,39,19,9,5,3,2,1,1,Boots/Ankle/David Tate/7436522.60.jpg
164,906,453,226,113,56,28,14,7,3,1,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/SLVR/8030011.183092.jpg
165,21217,10610,5305,2654,1328,664,333,168,85,43,22,12,7,5,4,4,Boots/Mid-Calf/Frye/7559842.68022.jpg
166,673,336,168,84,42,21,10,5,2,1,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/7394038.3.jpg
167,34793,17401,8702,4354,2180,1093,549,277,141,72,39,23,16,14,13,13,Shoes/Prewalker/pediped/7820255.632.jpg
168,11654,5827,2914,1457,728,364,182,91,46,23,11,6,3,2,1,1,Boots/Ankle/Lowa/7606195.223495.jpg
169,178,89,44,22,11,5,2,1,0,0,0,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS KIDS/8097759.80.jpg
170,31353,15679,7840,3922,1963,983,493,248,125,64,33,18,11,9,8,8,Shoes/Oxfords/Mephisto/8015458.368139.jpg
171,1569,784,392,196,98,49,24,12,6,3,1,0,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Columbia/7956904.347826.jpg
172,6808,3404,1702,851,425,212,106,53,26,13,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/ASICS/7984046.358616.jpg
173,16553,8277,4139,2070,1035,518,259,130,66,33,17,9,5,3,2,2,Shoes/Heels/Corso Como/7925846.19533.jpg
174,27269,13636,6819,3411,1707,854,429,216,109,56,29,16,9,7,6,6,Shoes/Loafers/NO SOX/8038242.401.jpg
175,34214,17111,8557,4281,2143,1074,539,271,137,70,37,21,14,12,11,11,Shoes/Boat Shoes/Sperry Top-Sider/7798495.500.jpg
176,4988,2494,1247,623,311,155,77,38,19,9,4,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Salomon/7901787.330248.jpg
177,23168,11585,5793,2898,1450,725,363,183,93,47,24,13,7,5,4,4,Boots/Mid-Calf/The North Face/7784987.363707.jpg
178,19656,9829,4915,2458,1230,615,308,155,78,39,20,11,6,4,3,3,Sandals/Flat/KORS Michael Kors/7646718.276017.jpg
179,7472,3736,1868,934,467,233,116,58,29,14,7,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Nike/7790007.353196.jpg
180,6825,3412,1706,853,426,213,106,53,26,13,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Hi-Tec/7988678.360035.jpg
181,9573,4786,2393,1197,598,299,150,75,38,19,9,5,3,2,1,1,Boots/Ankle/Frye/7416773.301588.jpg
182,28658,14331,7166,3585,1794,897,450,226,114,58,30,16,9,7,6,6,Shoes/Loafers/Clarks/7995632.18724.jpg
183,27951,13977,6989,3496,1750,875,439,221,112,57,29,16,9,7,6,6,Shoes/Loafers/Franco Sarto/8045146.377587.jpg
184,18019,9010,4505,2253,1127,564,282,142,72,36,18,10,6,4,3,3,Sandals/Flat/Gentle Souls/7785321.184651.jpg
185,18983,9492,4746,2374,1188,594,297,150,76,38,19,10,6,4,3,3,Sandals/Flat/Reef/7557470.39688.jpg
186,7971,3985,1992,996,498,249,124,62,31,15,7,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/8081986.1151.jpg
187,33320,16664,8333,4169,2087,1046,525,264,133,68,36,20,13,11,10,10,Slippers/Slipper Flats/L.B. Evans/7845014.677.jpg
188,4454,2227,1113,556,278,139,69,34,17,8,4,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Brooks/7965716.350967.jpg
189,6758,3379,1689,844,422,211,105,52,26,13,6,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/K-Swiss/8023428.371005.jpg
190,21453,10728,5364,2683,1343,672,337,170,86,43,22,12,7,5,4,4,Boots/Mid-Calf/Kenneth Cole Reaction/8055298.3.jpg
191,3856,1928,964,482,241,120,60,30,15,7,3,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Nike Kids/7969887.369174.jpg
192,7984,3992,1996,998,499,249,124,62,31,15,7,3,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Tsukihoshi Kids/7842991.166096.jpg
193,22376,11189,5595,2799,1401,701,351,177,90,45,23,12,7,5,4,4,Boots/Mid-Calf/Crocs/7986551.5915.jpg
194,11054,5527,2764,1382,691,345,173,87,44,22,11,6,3,2,1,1,Boots/Ankle/Ipath/7987721.332241.jpg
195,19408,9705,4853,2427,1214,607,304,153,77,39,20,11,6,4,3,3,Sandals/Flat/Keen/7209690.3.jpg
196,11384,5692,2846,1423,711,355,178,89,45,22,11,6,3,2,1,1,Boots/Ankle/Merrell/7987162.46658.jpg
197,22834,11418,5709,2856,1429,715,358,180,91,46,23,12,7,5,4,4,Boots/Mid-Calf/Yellow Box/8038838.3.jpg
198,5319,2659,1329,664,332,166,83,41,20,10,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Lacoste/8050154.143.jpg
199,8405,4202,2101,1050,525,262,131,65,32,16,8,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Ahnu/7979014.76119.jpg
